subfamily	family	orientation	n_copies	n_copies_total	median_log2fc	bg_median_log2fc	delta_vs_bg	frac_positive	median_input_dens	p	q
L1ME3F	L1	sense	722	4876	-0.129682	-0.330097	0.200415	0.473684	1.0173	0.488739	0.512252
AluSg	Alu	antisense	12957	40784	-1.56103	-1.75928	0.198247	0.143629	1.89753	7.75419e-135	1.81925e-133
AluYk4	Alu	sense	585	1846	-0.14416	-0.330097	0.185936	0.482051	0.435136	0.0323352	0.041967
AluYb9	Alu	antisense	58	327	-1.57791	-1.75928	0.181367	0.172414	0.700505	0.129061	0.153166
L1MA5A	L1	sense	512	3406	-0.159385	-0.330097	0.170712	0.476562	0.741053	0.147211	0.170833
AluSp	Alu	antisense	16411	49103	-1.59094	-1.75928	0.168334	0.141369	1.77738	1.24406e-167	4.74298e-166
AluSq	Alu	antisense	7327	21499	-1.59171	-1.75928	0.167567	0.136754	2.13273	1.42791e-59	1.24432e-58
AluY	Alu	antisense	32868	118506	-1.61001	-1.75928	0.14927	0.171991	1.1131	0	0
AluSc8	Alu	sense	7530	21507	-0.182599	-0.330097	0.147498	0.463081	0.617651	2.65841e-06	4.71404e-06
AluYf5	Alu	sense	57	180	-0.18663	-0.330097	0.143467	0.473684	0.62595	0.492672	0.514606
L1M3b	L1	sense	49	553	-0.188506	-0.330097	0.14159	0.44898	0.585226	0.467334	0.49492
AluSq4	Alu	sense	580	1398	-0.188763	-0.330097	0.141334	0.455172	0.62934	0.232798	0.262975
AluSx3	Alu	antisense	9068	29020	-1.61858	-1.75928	0.140702	0.145677	1.88267	2.4325e-68	2.39327e-67
AluSc	Alu	sense	11766	33903	-0.190294	-0.330097	0.139802	0.461924	0.620368	4.12909e-06	7.11509e-06
L1M6	L1	sense	892	6882	-0.191996	-0.330097	0.138101	0.471973	0.799708	0.143489	0.168323
L1MC3	L1	sense	1702	13238	-0.201321	-0.330097	0.128776	0.462985	0.678829	0.0586267	0.0745048
AluSg4	Alu	sense	3028	7364	-0.202405	-0.330097	0.127692	0.453435	0.626174	0.5147	0.53578
L1MC2	L1	sense	826	6341	-0.202769	-0.330097	0.127327	0.464891	0.663337	0.520767	0.540252
AluSg7	Alu	antisense	2523	8222	-1.63464	-1.75928	0.124635	0.145065	1.75536	2.40575e-19	6.98812e-19
AluSc8	Alu	antisense	6471	21507	-1.6357	-1.75928	0.123582	0.145727	1.73293	1.58661e-45	1.07537e-44
AluSx4	Alu	antisense	1823	5670	-1.63867	-1.75928	0.120608	0.148656	1.92742	3.37116e-10	7.45075e-10
L1P1	L1	antisense	492	3085	-1.64139	-1.75928	0.117888	0.195122	0.642754	0.000783151	0.00115392
AluSq2	Alu	antisense	16064	54418	-1.64151	-1.75928	0.117765	0.138695	1.5756	5.23427e-108	8.86918e-107
AluSx1	Alu	antisense	33774	109158	-1.6466	-1.75928	0.112677	0.140966	1.72652	2.21477e-232	1.35101e-230
AluSx	Alu	antisense	45561	141949	-1.65144	-1.75928	0.107835	0.143697	1.89728	7.38228e-217	3.75266e-215
L1PA6	L1	antisense	1017	5849	-1.65669	-1.75928	0.102591	0.0973451	1.22119	0.00235538	0.00335696
AluSz	Alu	antisense	30195	97073	-1.65742	-1.75928	0.101861	0.132671	1.99217	3.16761e-154	9.66121e-153
AluYd8	Alu	sense	69	225	-0.238741	-0.330097	0.0913562	0.478261	0.667742	0.363605	0.39749
AluYb8	Alu	antisense	549	2823	-1.66999	-1.75928	0.0892882	0.1949	0.559281	3.13743e-08	6.29551e-08
AluSc	Alu	antisense	9844	33903	-1.67061	-1.75928	0.088673	0.145368	1.60503	6.51174e-54	5.22653e-53
