subfamily	orientation	family	n_copies_with_reads	chr_mean	cyto_mean	chrRNA_neb_mean	log2_retention_rep1	log2_retention_rep2	log2_retention	reps_agree
L1MB8	sense	L1	470	6635.6273	1809.7010	4012.6215	2.1189	1.6581	1.8885	yes
L1PB4	antisense	L1	169	961.1399	258.9693	1119.0466	1.9436	1.8290	1.8863	yes
L1MEc	antisense	L1	470	1830.7893	496.7420	2668.4414	1.8905	1.8685	1.8795	yes
L1M4a2	antisense	L1	57	92.3748	25.0367	195.3264	1.8989	1.7923	1.8456	yes
L1P4b	antisense	L1	2	2.9092	0.0000	6.8357	1.2369	2.4493	1.8431	yes
L1ME1	sense	L1	872	7913.9081	2219.3588	4369.6218	1.9245	1.7449	1.8347	yes
L1PBb	sense	L1	1	2.5036	0.0000	2.1225	1.7056	1.9052	1.8054	yes
L1MC1	antisense	L1	398	2951.0637	851.0956	4301.0615	1.8757	1.7074	1.7916	yes
AluYd8	antisense	Alu	14	17.8525	15.3606	20.9367	-0.6986	4.1827	1.7420	NO
L1MD	sense	L1	216	2264.1950	688.1304	1275.7551	1.5891	1.8633	1.7262	yes
L1MA7	sense	L1	214	1345.3555	410.1115	1032.6003	1.7410	1.6806	1.7108	yes
L1P1	antisense	L1	127	315.0897	105.0603	545.9761	2.3952	1.0208	1.7080	yes
L1M3d	sense	L1	9	2.6831	0.0000	5.3262	0.9295	2.4493	1.6894	yes
L1MEa	sense	L1	7	2.1604	0.0000	5.0565	1.7056	1.6131	1.6594	yes
L1M2a1	sense	L1	6	192.9776	63.5895	77.7406	2.0099	1.2725	1.6412	yes
L1M2a1	antisense	L1	8	11.8545	6.7581	19.9012	4.1849	-0.9487	1.6181	NO
L1MC	antisense	L1	188	865.9203	290.9153	769.7501	1.9394	1.2638	1.6016	yes
L1P4e	antisense	L1	2	2.0434	0.0000	0.5010	1.8930	1.2466	1.5698	yes
L1MCa	antisense	L1	229	1122.6427	378.3168	2010.0566	1.5132	1.6220	1.5676	yes
L1M7	antisense	L1	73	106.7480	36.5572	193.1068	1.3051	1.8226	1.5639	yes
L1MC3	antisense	L1	319	2168.3265	740.1994	3130.4491	1.4843	1.6205	1.5524	yes
L1ME5	sense	L1	92	798.5899	277.3991	373.3570	1.8079	1.2778	1.5428	yes
L1M3de	sense	L1	9	296.9643	105.9826	346.4310	1.9835	1.0820	1.5328	yes
L1P4b	sense	L1	4	14.7723	11.5205	13.6521	-1.5453	4.5427	1.4987	NO
L1MCc	sense	L1	93	540.4560	242.0666	337.2786	2.6223	0.3740	1.4982	yes
L1MEd	sense	L1	570	5376.0898	1919.0699	2439.7847	1.5865	1.3906	1.4886	yes
L1MC4	antisense	L1	942	5531.3309	1982.5082	5858.0056	1.5625	1.3996	1.4810	yes
L1MC5a	sense	L1	595	3985.9952	1470.0883	2142.5784	1.8250	1.1315	1.4783	yes
L1ME2	sense	L1	338	2246.4859	818.6811	1830.4153	1.7012	1.2445	1.4728	yes
L1MEd	antisense	L1	569	1506.9641	546.0444	2446.9701	1.6794	1.2639	1.4716	yes
L1PA16	antisense	L1	319	1476.3353	555.2667	2498.5323	1.2684	1.5793	1.4239	yes
L1M1	sense	L1	201	2837.4323	1072.2830	1727.9946	1.3427	1.4692	1.4059	yes
L1M4b	antisense	L1	108	628.3786	238.8462	1108.9317	1.6213	1.1869	1.4041	yes
L1P2	antisense	L1	49	565.7279	225.4813	1220.8990	1.8709	0.9287	1.3998	yes
L1PA8	antisense	L1	184	655.1784	264.0341	978.4651	1.8615	0.9199	1.3907	yes
L1ME4c	sense	L1	292	1469.6825	565.0940	924.2107	1.4080	1.3449	1.3764	yes
L1MC4a	sense	L1	293	2485.0525	984.2618	1252.0322	1.5757	1.1164	1.3460	yes
L1MD3	antisense	L1	197	978.6296	396.5953	1155.4596	1.2242	1.3806	1.3024	yes
L1ME4b	sense	L1	778	4061.9243	1664.0921	2523.9305	1.4757	1.1134	1.2945	yes
L1MD1	antisense	L1	175	750.7871	311.8093	1255.4225	1.1350	1.4189	1.2770	yes
L1HS	sense	L1	86	920.7633	380.3125	338.7561	1.2013	1.3381	1.2697	yes
L1MD2	sense	L1	254	2249.8777	939.7218	1328.4386	1.3216	1.1975	1.2595	yes
L1ME3A	antisense	L1	502	1894.9878	794.1129	2596.5012	1.1743	1.3389	1.2566	yes
L1MC3	sense	L1	280	2037.6628	858.0049	1247.6827	1.4354	1.0669	1.2512	yes
L1ME1	antisense	L1	915	3464.5335	1461.5005	4320.3034	1.2918	1.1976	1.2447	yes
L1M2b	sense	L1	8	1.3649	0.0000	12.4132	1.2369	1.2466	1.2418	yes
L1MC2	sense	L1	153	613.2150	261.8872	245.0939	1.3573	1.0874	1.2223	yes
L1MD3	sense	L1	180	1690.7565	724.9900	848.1084	1.2630	1.1789	1.2210	yes
SVA_B	antisense	SVA	46	413.0622	175.2567	540.7022	1.0661	1.3601	1.2131	yes
L1MA6	sense	L1	137	1238.5317	535.2949	712.0918	1.3529	1.0518	1.2024	yes
L1ME4c	antisense	L1	314	1323.1534	580.3034	981.5513	1.0100	1.3931	1.2015	yes
L1M4	antisense	L1	564	1981.7682	867.6810	2602.9019	1.3826	1.0143	1.1984	yes
L1ME3B	sense	L1	242	1433.6772	632.6749	797.2241	1.3169	1.0524	1.1847	yes
L1M5	sense	L1	1504	9348.9714	4170.5260	4845.8713	1.2965	1.0412	1.1689	yes
L1MB7	sense	L1	746	5072.2551	2342.6829	3391.4885	1.4366	0.8506	1.1436	yes
AluYk4	antisense	Alu	38	68.7196	31.7948	101.9274	1.4500	0.8280	1.1390	yes
AluYh3	antisense	Alu	99	213.9727	102.1424	248.8722	1.6401	0.6345	1.1373	yes
Alu	sense	Alu	98	717.3661	373.0859	483.1300	1.9799	0.2828	1.1313	yes
AluYh9	antisense	Alu	6	1.1933	0.0000	1.8392	1.2369	1.0212	1.1291	yes
L1ME3G	sense	L1	516	1971.5936	915.9098	1198.7627	1.3108	0.9266	1.1187	yes
L1MA8	antisense	L1	268	1108.9144	512.2539	1633.5763	1.2218	1.0075	1.1147	yes
L1ME3	sense	L1	308	1762.4598	844.9573	1177.9170	0.8247	1.3200	1.0724	yes
L1MB4	sense	L1	273	1667.6721	830.5041	911.9692	1.4450	0.6731	1.0591	yes
SVA_A	antisense	SVA	49	201.6436	99.2245	392.9477	1.2468	0.8472	1.0470	yes
L1PB2	antisense	L1	68	279.4458	138.5483	815.2440	0.8688	1.1988	1.0338	yes
L1M4	sense	L1	551	7159.4895	3612.6438	3675.3120	1.2019	0.8003	1.0011	yes
L1P3	antisense	L1	59	271.6090	135.7816	316.3464	1.1815	0.8199	1.0007	yes
L1MA10	antisense	L1	101	331.8810	165.5807	371.9012	1.0522	0.9410	0.9966	yes
L1ME2z	antisense	L1	209	775.0281	390.7595	1170.5533	0.8736	1.1129	0.9932	yes
L1ME3C	sense	L1	102	573.9237	298.5956	536.6860	1.2629	0.6621	0.9625	yes
L1MC5	sense	L1	527	2093.7142	1082.4128	1338.4140	1.0997	0.8168	0.9582	yes
L1MB3	sense	L1	517	4859.1356	2505.8289	2899.7632	0.9411	0.9697	0.9554	yes
L1M3e	antisense	L1	6	1.3570	0.0000	3.7840	1.8930	0.0000	0.9465	NO
