subfamily	orientation	family	K562_chrRNA_rep1	K562_chrRNA_rep2	K562_chr_Takara_rep1	K562_chr_Takara_rep2	K562_cyto_Takara_rep1	K562_cyto_Takara_rep2
L1PA11	antisense	L1	368	294	252	302	3	2
L1PA11	sense	L1	16798	12728	14176	18344	93	59
L1PA12	antisense	L1	813	586	161	236	9	0
L1PA12	sense	L1	12753	8763	5903	7763	22	26
L1PA13	antisense	L1	2765	2261	1140	1584	26	10
L1PA13	sense	L1	66639	49750	53317	68918	232	164
L1PA14	antisense	L1	537	436	445	606	2	1
L1PA14	sense	L1	21574	16423	18696	24642	87	61
L1PA15	antisense	L1	3101	2613	1337	1674	37	9
L1PA15	sense	L1	86241	64154	77826	99020	183	168
L1PA15-16	antisense	L1	99	104	188	233	0	1
L1PA15-16	sense	L1	11478	8833	9845	12099	19	11
L1PA16	antisense	L1	1635	1532	1569	1755	15	6
L1PA16	sense	L1	90082	68946	81933	101363	369	280
L1PA17	antisense	L1	349	335	202	254	17	11
L1PA17	sense	L1	16637	12761	18021	22445	57	36
L1PA2	antisense	L1	5252	4181	2028	2699	38	22
L1PA2	sense	L1	20491	16406	26852	39475	125	96
L1PA3	antisense	L1	6423	5154	2872	3824	67	48
L1PA3	sense	L1	60947	49664	66385	97358	245	203
L1PA4	antisense	L1	7560	6118	2258	3002	28	26
L1PA4	sense	L1	87784	67617	99328	142550	355	267
L1PA5	antisense	L1	4828	4178	1781	2325	25	13
L1PA5	sense	L1	112985	87721	100965	147266	302	327
L1PA6	antisense	L1	2123	1707	819	1234	13	6
L1PA6	sense	L1	60837	45681	59569	87035	199	236
L1PA7	antisense	L1	3179	2759	2037	2573	15	23
L1PA7	sense	L1	141552	107423	149507	206219	311	296
L1PA8	antisense	L1	835	843	469	611	12	3
L1PA8	sense	L1	54738	39516	34079	47494	82	94
L1PA8A	antisense	L1	510	393	428	525	14	2
L1PA8A	sense	L1	28506	21889	21821	31375	27	63
L1PB	antisense	L1	69	96	62	70	4	2
L1PB	sense	L1	7205	5580	3624	4890	26	13
L1PB1	antisense	L1	4157	3532	1987	2227	25	41
L1PB1	sense	L1	98170	73324	79956	100608	197	185
L1PB2	antisense	L1	292	207	88	118	0	4
L1PB2	sense	L1	11513	9199	6438	8042	20	18
L1PB3	antisense	L1	155	154	415	568	8	4
L1PB3	sense	L1	27383	21177	22952	29207	52	73
L1PB4	antisense	L1	657	563	371	445	3	4
L1PB4	sense	L1	32560	25134	28117	34954	76	112
L1PBa	antisense	L1	182	145	199	213	0	3
L1PBa	sense	L1	14782	10418	7161	9331	63	53
L1PBa1	antisense	L1	10	36	154	172	13	10
L1PBa1	sense	L1	19207	13724	8222	10897	272	154
L1PBb	antisense	L1	4	4	48	39	0	0
L1PBb	sense	L1	1907	1679	3097	3467	0	6
L1PREC2	antisense	L1	1324	1198	1061	1290	19	6
L1PREC2	sense	L1	47857	36508	54498	67360	195	183
SVA_A	antisense	SVA	129	79	108	128	3	9
SVA_A	sense	SVA	5673	4304	1329	1867	83	34
SVA_B	antisense	SVA	578	321	155	285	10	9
SVA_B	sense	SVA	2805	1846	1007	1322	50	29
SVA_C	antisense	SVA	1209	767	301	331	8	6
SVA_C	sense	SVA	2809	1757	551	839	25	20
SVA_D	antisense	SVA	2456	1330	448	726	46	24
SVA_D	sense	SVA	10126	6487	2425	3634	249	163
SVA_E	antisense	SVA	518	290	88	142	15	2
SVA_E	sense	SVA	2332	1908	611	851	34	18
SVA_F	antisense	SVA	2549	1465	195	315	7	11
SVA_F	sense	SVA	3693	2516	783	1048	140	54
