subfamily	orientation	family	n_copies_with_reads	chr_mean	cyto_mean	chrRNA_neb_mean	log2_retention_rep1	log2_retention_rep2	log2_retention	reps_agree
L1MC	sense	L1	778	8007.7188	1169.4970	4444.9680	3.1685	2.4548	2.8116	yes
L1MEd	sense	L1	2345	40271.3091	5982.7980	17695.5865	3.1866	2.4087	2.7977	yes
L1MEi	sense	L1	612	11555.5619	1679.1502	4742.8760	2.8271	2.7383	2.7827	yes
L1M	sense	L1	84	371.8995	53.9135	207.8815	2.8154	2.7101	2.7627	yes
L1HS	antisense	L1	247	587.4410	88.6262	1060.3935	3.0704	2.4294	2.7499	yes
L1PA16	antisense	L1	438	656.0007	98.1510	395.3138	2.6126	2.8775	2.7450	yes
L1MD2	sense	L1	1091	14531.5402	2237.7738	9397.6318	3.0419	2.4227	2.7323	yes
L1ME3D	sense	L1	422	5967.5970	898.2510	2684.9201	2.7658	2.6951	2.7305	yes
L1ME1	sense	L1	3044	44717.9483	6865.8544	25644.9457	3.0175	2.4365	2.7270	yes
L1MA1	antisense	L1	122	304.9669	46.2332	310.3578	2.9693	2.4618	2.7156	yes
L1ME2z	sense	L1	690	5581.7885	890.1022	3851.4369	2.9989	2.3638	2.6813	yes
L1ME3E	sense	L1	519	5208.7054	847.8604	2757.1340	3.1052	2.2430	2.6741	yes
L1ME3B	sense	L1	1010	15459.9841	2495.2159	8012.0007	2.8338	2.4447	2.6393	yes
L1M4a1	antisense	L1	77	69.3271	10.5983	17.0407	3.1906	2.0806	2.6356	yes
L1MB4	sense	L1	892	14027.5904	2267.8901	7757.4865	2.8152	2.4560	2.6356	yes
L1M2a1	sense	L1	10	17.1740	3.8402	11.9378	1.0672	4.1827	2.6249	yes
L1ME3Cz	sense	L1	1422	16600.0565	2746.6561	8794.5076	2.8163	2.3945	2.6054	yes
L1ME3	sense	L1	834	11402.0205	1879.5949	6413.2775	2.7200	2.4858	2.6029	yes
L1MA3	antisense	L1	325	683.1602	114.5851	645.6083	2.6946	2.4405	2.5676	yes
L1M5	sense	L1	6044	69826.3662	12303.2573	33380.5487	2.7798	2.2630	2.5214	yes
AluYk12	antisense	Alu	8	4.6640	0.0000	10.4091	2.4655	2.5372	2.5014	yes
L1PB2	antisense	L1	65	40.1507	27.0324	61.3785	5.3507	-0.4081	2.4713	NO
L1PBa	sense	L1	172	3220.7151	600.1091	3098.7353	2.7404	2.1588	2.4496	yes
L1MB7	sense	L1	2406	37449.9390	7435.7551	24181.6674	2.3779	2.2877	2.3328	yes
