subfamily	orientation	family	n_copies_with_reads	chr_mean	cyto_mean	chrRNA_neb_mean	log2_retention_rep1	log2_retention_rep2	log2_retention	reps_agree
L1P4e	sense	NA	0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	yes
L1MEg	sense	L1	52	43.1303	43.3153	8.2595	-0.2388	0.2190	-0.0099	NO
L1ME2	sense	L1	61	111.2654	112.5894	73.7925	-0.4413	0.4168	-0.0123	NO
L1M1	sense	L1	57	74.8024	117.2006	45.3384	-1.3460	1.3128	-0.0166	NO
L1MEc	sense	L1	80	123.6643	131.7902	39.2813	-0.2953	0.2130	-0.0412	NO
L1PA7	antisense	L1	79	673.4050	694.1175	1486.8020	-0.0660	-0.0214	-0.0437	yes
L1PA4	antisense	L1	85	1841.1671	1909.3939	2675.9291	0.1018	-0.2063	-0.0523	NO
L1PREC2	sense	L1	28	30.2613	64.6630	27.1058	1.7867	-1.9127	-0.0630	NO
L1MB4	sense	L1	55	57.9867	60.6716	32.8018	0.3951	-0.5775	-0.0912	NO
L1MC4	antisense	L1	312	3330.1926	3593.6090	3704.7464	0.0535	-0.2691	-0.1078	NO
AluYc	antisense	Alu	38	120.6545	138.5483	137.8952	-0.4440	0.1173	-0.1634	NO
L1MA6	antisense	L1	76	1232.2842	1424.9434	2020.8524	-0.1655	-0.2525	-0.2090	yes
L1M2a	antisense	L1	5	49.5720	69.4254	103.5788	0.7533	-1.1948	-0.2207	NO
L1ME5	sense	L1	18	17.1194	22.1187	6.5195	-0.8388	0.3501	-0.2443	NO
L1ME3Cz	sense	L1	66	69.2883	83.7126	18.6158	-0.4064	-0.0887	-0.2476	yes
L1PA12	sense	L1	9	11.7770	17.3563	15.0303	0.4498	-1.0331	-0.2917	NO
L1M4	sense	L1	89	96.0717	155.2849	69.1170	0.7683	-1.3538	-0.2928	NO
L1MB7	sense	L1	142	393.0353	490.7549	140.1589	-0.4933	-0.1042	-0.2988	yes
AluYg6	antisense	Alu	5	1.4194	3.8402	1.9184	-1.6275	1.0212	-0.3032	NO
L1ME2z	sense	L1	42	52.4036	82.9416	19.6107	0.6124	-1.2234	-0.3055	NO
L1MC5	antisense	L1	213	1960.1695	2449.1487	2144.7183	-0.2731	-0.3715	-0.3223	yes
L1MEc	antisense	L1	131	775.8992	978.7432	1782.4306	-0.4207	-0.2301	-0.3254	yes
L1MC4a	antisense	L1	118	935.1239	1172.7322	1180.4293	-0.2538	-0.3971	-0.3254	yes
L1PA2	antisense	L1	161	3593.3481	4519.5122	2933.3937	-0.2245	-0.4374	-0.3310	yes
L1MD3	antisense	L1	56	285.2584	361.1117	490.6867	-0.2190	-0.4488	-0.3339	yes
L1MA10	antisense	L1	32	504.0811	652.0269	297.8718	-0.1004	-0.6143	-0.3574	yes
L1MDb	sense	L1	8	2.2229	7.6803	0.7779	-2.7952	2.0316	-0.3818	NO
L1PA17	antisense	L1	32	188.5635	251.1377	320.5493	-0.7277	-0.0438	-0.3858	yes
L1MA8	antisense	L1	85	1045.0132	1389.6109	1415.4405	-0.1965	-0.6139	-0.4052	yes
L1MEg	antisense	L1	87	939.0888	1243.0798	666.5830	-0.2008	-0.6146	-0.4077	yes
L1PB1	antisense	L1	100	862.3182	1150.7647	1959.2241	-0.2690	-0.5504	-0.4097	yes
L1MB3	sense	L1	110	181.5675	282.4640	79.1172	0.2497	-1.1410	-0.4457	NO
SVA_D	antisense	SVA	16	222.2028	323.7835	305.8257	-0.1112	-0.8152	-0.4632	yes
L1MB5	sense	L1	51	52.5831	85.5570	23.0457	-1.4808	0.5309	-0.4750	NO
L1M7	sense	L1	17	32.0081	51.9178	16.3285	-1.1744	0.1703	-0.5021	NO
L1PBa1	antisense	L1	15	10.0143	17.3563	67.4314	0.2109	-1.2262	-0.5077	NO
