subfamily	orientation	family	K562_chrRNA_rep1	K562_chrRNA_rep2	K562_chr_Takara_rep1	K562_chr_Takara_rep2	K562_cyto_Takara_rep1	K562_cyto_Takara_rep2
L1MC5	antisense	L1	9756	7595	4510	5479	321	180
L1MC5	sense	L1	87	92	344	463	13	14
L1MC5a	antisense	L1	8502	6872	4277	4984	421	244
L1MC5a	sense	L1	377	325	318	343	32	22
L1MCa	antisense	L1	3193	2816	1743	1975	67	40
L1MCa	sense	L1	359	259	218	215	6	3
L1MCb	antisense	L1	451	340	159	233	69	15
L1MCb	sense	L1	34	32	29	29	4	1
L1MCc	antisense	L1	532	280	100	128	15	6
L1MCc	sense	L1	1	0	18	16	0	0
L1MD	antisense	L1	2962	2145	1346	1695	202	124
L1MD	sense	L1	130	93	567	656	2	6
L1MD1	antisense	L1	4891	3976	1748	2031	208	127
L1MD1	sense	L1	17	17	67	75	3	0
L1MD2	antisense	L1	4646	3629	1702	2389	214	127
L1MD2	sense	L1	370	174	458	518	98	12
L1MD3	antisense	L1	2113	1834	627	836	43	29
L1MD3	sense	L1	90	51	100	87	7	1
L1MDa	antisense	L1	3600	3193	1343	1742	66	50
L1MDa	sense	L1	18	9	83	109	6	1
L1MDb	antisense	L1	426	235	163	179	393	221
L1MDb	sense	L1	2	4	3	9	2	0
L1ME1	antisense	L1	13296	11974	5108	6164	437	358
L1ME1	sense	L1	801	501	1288	1386	33	18
L1ME2	antisense	L1	4872	3872	2040	2437	158	147
L1ME2	sense	L1	320	274	212	369	17	7
L1ME2z	antisense	L1	2825	2429	1448	1926	249	128
L1ME2z	sense	L1	112	51	105	167	4	10
L1ME3	antisense	L1	3656	3129	2168	2471	97	53
L1ME3	sense	L1	476	462	319	423	11	4
L1ME3A	antisense	L1	8135	6155	2898	3609	251	161
L1ME3A	sense	L1	206	164	173	251	3	5
L1ME3B	antisense	L1	3805	2835	2439	2883	217	128
L1ME3B	sense	L1	134	148	392	454	8	9
L1ME3C	antisense	L1	1013	861	414	505	4	4
L1ME3C	sense	L1	64	27	108	121	0	0
L1ME3Cz	antisense	L1	3603	3133	1997	2473	303	163
L1ME3Cz	sense	L1	92	60	166	185	13	5
L1ME3D	antisense	L1	1424	1241	856	1103	131	66
L1ME3D	sense	L1	84	57	140	179	2	2
L1ME3E	antisense	L1	1292	1128	509	638	62	37
L1ME3E	sense	L1	14	11	34	55	5	2
L1ME3F	antisense	L1	3443	3527	1375	1728	48	28
L1ME3F	sense	L1	185	84	91	126	27	0
L1ME3G	antisense	L1	15893	11668	5250	6512	247	174
L1ME3G	sense	L1	165	122	309	431	12	1
L1ME4a	antisense	L1	17983	15217	10543	13413	1019	640
L1ME4a	sense	L1	213	189	535	697	59	27
L1ME4b	antisense	L1	16316	12768	8219	10995	1500	928
L1ME4b	sense	L1	265	167	380	635	62	45
L1ME4c	antisense	L1	2199	1978	1488	1996	187	93
L1ME4c	sense	L1	95	76	139	184	6	6
L1ME5	antisense	L1	2296	1861	660	720	93	65
L1ME5	sense	L1	31	22	37	51	4	1
L1MEa	antisense	L1	2	8	1	9	2	0
L1MEa	sense	L1	5	5	7	3	0	0
L1MEb	antisense	L1	698	585	142	178	20	1
L1MEb	sense	L1	15	14	16	10	0	0
L1MEc	antisense	L1	7898	6482	1826	2115	144	63
L1MEc	sense	L1	206	117	304	320	22	7
L1MEd	antisense	L1	5169	4533	2133	2391	347	214
L1MEd	sense	L1	183	118	248	349	16	19
L1MEf	antisense	L1	3621	3600	1710	2194	285	182
L1MEf	sense	L1	454	275	235	336	48	17
L1MEg	antisense	L1	2740	2597	2260	2494	153	97
L1MEg	sense	L1	49	20	86	138	6	3
L1MEg1	antisense	L1	101	117	105	114	21	16
L1MEg1	sense	L1	87	74	138	178	34	10
L1MEg2	antisense	L1	565	378	112	131	9	15
L1MEg2	sense	L1	7	1	8	19	0	0
L1MEh	antisense	L1	1402	1050	402	466	80	45
L1MEh	sense	L1	1	13	11	8	3	1
L1MEi	antisense	L1	699	547	480	609	9	6
L1MEi	sense	L1	63	58	136	197	6	5
L1MEj	antisense	L1	991	889	49	84	3	0
L1MEj	sense	L1	0	2	3	8	0	0
L1P	antisense	NA	0	0	0	0	0	0
L1P	sense	L1	0	0	1	0	0	0
L1P1	antisense	L1	1078	1015	243	246	25	24
L1P1	sense	L1	47	12	31	44	2	0
L1P2	antisense	L1	3204	2566	584	740	13	10
L1P2	sense	L1	178	154	166	226	0	0
L1P3	antisense	L1	2284	1930	1051	1374	36	21
L1P3	sense	L1	2	2	69	69	0	0
L1P4	antisense	L1	2446	2098	807	950	30	16
L1P4	sense	L1	148	98	129	143	4	1
L1P4a	antisense	L1	573	495	174	221	1	1
L1P4a	sense	L1	0	0	6	11	1	0
L1P4b	antisense	L1	754	342	293	436	15	6
L1P4b	sense	L1	8	2	2	3	0	0
L1P4c	antisense	NA	0	0	0	0	0	0
L1P4c	sense	NA	0	0	0	0	0	0
L1P4e	antisense	NA	0	0	0	0	0	0
L1P4e	sense	NA	0	0	0	0	0	0
L1P5	antisense	L1	52	41	37	45	1	0
L1P5	sense	L1	0	0	0	1	0	0
L1PA10	antisense	L1	3888	3007	759	872	68	66
L1PA10	sense	L1	22	22	42	36	6	1
L1PA11	antisense	L1	7133	6283	1159	1401	43	49
L1PA11	sense	L1	238	150	120	189	2	1
L1PA12	antisense	L1	1069	899	127	98	6	1
L1PA12	sense	L1	60	60	24	37	1	2
L1PA13	antisense	L1	3014	2424	576	788	19	12
L1PA13	sense	L1	1523	969	269	420	1	6
L1PA14	antisense	L1	2514	2133	523	621	4	3
L1PA14	sense	L1	200	160	127	182	0	0
L1PA15	antisense	L1	2974	2570	1005	1148	114	84
L1PA15	sense	L1	17	24	235	346	11	4
L1PA15-16	antisense	L1	759	453	91	83	1	1
L1PA15-16	sense	L1	105	51	13	19	0	0
L1PA16	antisense	L1	9170	8048	2965	3463	69	51
L1PA16	sense	L1	754	583	253	341	4	2
L1PA17	antisense	L1	1399	1183	399	573	39	15
L1PA17	sense	L1	93	102	101	134	2	0
L1PA2	antisense	L1	13425	10322	8254	10062	568	346
L1PA2	sense	L1	2378	1783	5980	8725	112	52
L1PA3	antisense	L1	16449	13904	7994	9794	452	222
L1PA3	sense	L1	1136	870	2493	3485	81	31
L1PA4	antisense	L1	11792	9784	4282	5086	235	149
L1PA4	sense	L1	503	240	808	1036	3	21
L1PA5	antisense	L1	11065	9336	2661	3367	99	73
L1PA5	sense	L1	176	114	370	447	11	0
L1PA6	antisense	L1	6975	5882	1552	1807	24	8
L1PA6	sense	L1	362	247	304	429	10	15
L1PA7	antisense	L1	6541	5445	1476	1979	91	51
L1PA7	sense	L1	1153	824	2106	2646	2	13
L1PA8	antisense	L1	1804	1477	332	441	95	67
L1PA8	sense	L1	849	531	463	693	0	2
L1PA8A	antisense	L1	1039	761	246	433	7	1
L1PA8A	sense	L1	2	0	19	18	0	0
L1PB	antisense	L1	389	328	385	471	13	12
L1PB	sense	L1	118	126	92	126	1	0
L1PB1	antisense	L1	8512	7262	1916	2500	136	93
L1PB1	sense	L1	189	86	266	338	51	30
L1PB2	antisense	L1	834	622	159	208	13	16
L1PB2	sense	L1	0	0	13	14	0	0
L1PB3	antisense	L1	6679	6509	3001	3562	29	11
L1PB3	sense	L1	16	17	58	74	1	0
L1PB4	antisense	L1	1647	1293	712	874	50	13
L1PB4	sense	L1	35	55	65	68	1	1
L1PBa	antisense	L1	778	733	241	372	45	23
L1PBa	sense	L1	664	457	205	222	0	0
L1PBa1	antisense	L1	283	258	20	32	1	2
L1PBa1	sense	L1	16	19	16	14	0	0
L1PBb	antisense	L1	76	55	15	40	3	0
L1PBb	sense	L1	0	2	2	0	0	0
L1PREC2	antisense	L1	3055	2801	1127	1403	50	39
L1PREC2	sense	L1	148	76	64	92	1	9
SVA_A	antisense	SVA	1112	666	372	571	216	126
SVA_A	sense	SVA	11	13	18	34	4	3
SVA_B	antisense	SVA	854	547	182	260	8	4
SVA_B	sense	SVA	12	1	6	24	0	0
SVA_C	antisense	SVA	211	118	19	43	7	2
SVA_C	sense	SVA	2	2	1	12	0	0
SVA_D	antisense	SVA	1621	897	440	715	28	32
SVA_D	sense	SVA	39	24	70	102	5	6
SVA_E	antisense	SVA	116	91	14	30	4	2
SVA_E	sense	SVA	25	13	2	9	0	0
SVA_F	antisense	SVA	658	368	80	157	20	4
SVA_F	sense	SVA	53	75	20	35	23	6
