subfamily	orientation	family	K562_chrRNA_rep1	K562_chrRNA_rep2	K562_chr_Takara_rep1	K562_chr_Takara_rep2	K562_cyto_Takara_rep1	K562_cyto_Takara_rep2
L1ME3B	sense	L1	46782	37504	48371	60166	1036	614
L1ME3C	antisense	L1	14654	12261	5620	7337	114	77
L1ME3C	sense	L1	15518	12583	11493	14804	225	179
L1ME3Cz	antisense	L1	55843	50230	26665	33350	773	493
L1ME3Cz	sense	L1	50296	41698	52450	65687	769	543
L1ME3D	antisense	L1	24932	22125	13163	15301	608	323
L1ME3D	sense	L1	18138	14880	20217	25170	315	226
L1ME3E	antisense	L1	26202	23604	14312	16927	290	156
L1ME3E	sense	L1	16738	13869	17542	22298	236	170
L1ME3F	antisense	L1	25656	23151	11494	14128	256	131
L1ME3F	sense	L1	17704	13967	21842	28080	386	255
L1ME3G	antisense	L1	86750	74141	37581	47833	938	602
L1ME3G	sense	L1	53025	43633	48646	61070	845	603
L1ME4a	antisense	L1	115800	107294	77845	100699	2703	1700
L1ME4a	sense	L1	74278	66638	68139	87409	2136	1173
L1ME4b	antisense	L1	136767	116745	61994	80329	2957	1731
L1ME4b	sense	L1	80038	64939	64709	83544	1509	909
L1ME4c	antisense	L1	32553	30337	18821	24383	567	293
L1ME4c	sense	L1	28601	24821	28367	35277	1269	782
L1ME5	antisense	L1	21403	18088	6148	7653	225	184
L1ME5	sense	L1	12239	8704	10517	13262	169	104
L1MEa	antisense	L1	1893	1716	735	1005	10	11
L1MEa	sense	L1	1387	1046	813	1004	14	2
L1MEb	antisense	L1	11417	10400	3672	4617	66	19
L1MEb	sense	L1	11240	9173	12477	15227	92	20
L1MEc	antisense	L1	157258	140194	52774	63783	1678	896
L1MEc	sense	L1	118350	92156	134379	168367	1005	792
L1MEd	antisense	L1	93677	87082	34443	43223	937	581
L1MEd	sense	L1	107267	84861	123913	157708	1332	1069
L1MEf	antisense	L1	92935	86195	32602	40360	866	510
L1MEf	sense	L1	72505	58941	86121	109754	776	519
L1MEg	antisense	L1	77098	70854	30778	38298	661	405
L1MEg	sense	L1	72148	60027	98994	121719	644	502
L1MEg1	antisense	L1	6102	4884	1969	2501	54	41
L1MEg1	sense	L1	3913	3159	3593	4497	45	13
L1MEg2	antisense	L1	5749	4585	2398	2985	24	43
L1MEg2	sense	L1	1611	1229	1603	2231	10	11
L1MEh	antisense	L1	16451	14010	6325	7737	163	88
L1MEh	sense	L1	9962	8041	11777	15138	156	79
L1MEi	antisense	L1	19272	16893	6761	8782	82	79
L1MEi	sense	L1	29422	23526	37761	48804	301	191
L1MEj	antisense	L1	8114	6910	3092	3832	46	30
L1MEj	sense	L1	14280	11567	16450	21114	85	74
L1P	antisense	L1	520	352	113	143	0	1
L1P	sense	L1	27	55	149	219	0	1
L1P1	antisense	L1	31289	27685	9972	12549	128	88
L1P1	sense	L1	32907	24460	45344	61834	2929	1572
L1P2	antisense	L1	45990	39337	8097	10905	182	83
L1P2	sense	L1	24633	17827	31177	43632	955	545
L1P3	antisense	L1	36580	32772	9208	11256	88	83
L1P3	sense	L1	28753	21241	45918	60936	179	174
