subfamily	orientation	family	n_copies_with_reads	chr_mean	cyto_mean	chrRNA_neb_mean	log2_retention_rep1	log2_retention_rep2	log2_retention	reps_agree
AluYe5	antisense	Alu	222	530.9671	201.9866	879.1783	0.9561	1.9890	1.4725	yes
L1PA14	sense	L1	264	577.8646	207.9737	370.8941	1.4900	1.4511	1.4705	yes
L1MA8	sense	L1	534	831.9839	303.3580	340.9186	1.7068	1.2122	1.4595	yes
L1M2a	antisense	L1	81	366.0536	134.7081	1329.7704	1.0173	1.8941	1.4557	yes
L1PA7	sense	L1	1291	2390.1037	883.6614	1206.4145	1.4136	1.4573	1.4354	yes
AluYb9	antisense	Alu	59	70.8807	29.7991	103.0558	0.3007	2.5628	1.4317	yes
L1MC5a	antisense	L1	4036	20198.9988	7496.8804	25687.2314	1.5221	1.3407	1.4314	yes
L1M2c	sense	L1	22	12.3305	11.5205	6.6980	-0.6784	3.5409	1.4312	NO
L1M4	antisense	L1	3534	14192.2049	5309.0139	23079.3280	1.4936	1.3443	1.4190	yes
L1MEg1	antisense	L1	126	729.6685	280.3170	1264.0300	1.7082	1.1076	1.4079	yes
L1M	antisense	L1	104	161.9366	61.5938	208.5809	1.1633	1.6163	1.3898	yes
L1MA7	sense	L1	428	431.5253	164.6584	78.1766	1.5096	1.2655	1.3876	yes
L1M4c	antisense	L1	611	2319.8977	902.3937	4316.2965	1.5778	1.1663	1.3720	yes
L1M4	sense	L1	1230	1420.4276	548.8111	631.7684	1.4035	1.3387	1.3711	yes
L1MB7	antisense	L1	5160	23339.3209	9083.8668	39498.7161	1.4544	1.2727	1.3636	yes
L1P3b	antisense	L1	5	1.6535	0.0000	26.5071	0.9295	1.7665	1.3480	yes
L1ME3E	sense	L1	317	845.5616	361.5802	193.7333	0.8359	1.8561	1.3460	yes
L1PA17	sense	L1	319	437.9447	174.3345	105.5115	1.5757	1.1106	1.3431	yes
L1MEi	sense	L1	234	216.9510	108.5980	52.6494	0.4193	2.2551	1.3372	yes
L1ME4b	antisense	L1	4642	19653.1749	7862.4815	23388.5286	1.2612	1.3857	1.3234	yes
L1ME3C	antisense	L1	597	1785.9571	732.9728	2550.5749	1.5104	1.0946	1.3025	yes
AluYk2	antisense	Alu	146	214.5047	86.6305	503.9627	1.0727	1.5176	1.2951	yes
L1M3e	sense	L1	48	76.5650	31.7948	160.5061	1.8010	0.7802	1.2906	yes
AluYb8	antisense	Alu	506	723.3544	294.6042	1157.5032	1.2066	1.3731	1.2899	yes
