subfamily	orientation	family	K562_chrRNA_rep1	K562_chrRNA_rep2	K562_chr_Takara_rep1	K562_chr_Takara_rep2	K562_cyto_Takara_rep1	K562_cyto_Takara_rep2
L1ME3A	sense	L1	2042	1714	3870	4852	94	35
L1ME3B	antisense	L1	41627	36403	15993	20163	266	163
L1ME3B	sense	L1	747	592	1461	1918	54	29
L1ME3C	antisense	L1	11191	9365	3874	5302	80	63
L1ME3C	sense	L1	288	258	501	621	22	9
L1ME3Cz	antisense	L1	44631	40170	20048	25652	282	226
L1ME3Cz	sense	L1	941	682	1561	1912	42	28
L1ME3D	antisense	L1	18300	16416	7818	9575	120	55
L1ME3D	sense	L1	1131	914	1140	1466	34	31
L1ME3E	antisense	L1	20639	18414	10400	12380	143	58
L1ME3E	sense	L1	932	645	2002	2289	66	16
L1ME3F	antisense	L1	19135	16801	8289	10170	120	58
L1ME3F	sense	L1	578	519	981	1195	17	12
L1ME3G	antisense	L1	60677	53463	27651	35314	486	300
L1ME3G	sense	L1	1619	1476	2263	2792	96	51
L1ME4a	antisense	L1	82215	78287	54821	71594	1056	634
L1ME4a	sense	L1	1617	1629	2895	3530	143	70
L1ME4b	antisense	L1	101076	87126	43795	56810	1076	552
L1ME4b	sense	L1	1986	1629	3028	3902	146	48
L1ME4c	antisense	L1	24848	23192	13466	17355	236	147
L1ME4c	sense	L1	559	542	811	1064	23	12
L1ME5	antisense	L1	12412	10590	3391	4333	37	36
L1ME5	sense	L1	201	147	586	685	23	11
L1MEa	antisense	L1	1804	1637	695	943	3	5
L1MEa	sense	L1	54	22	46	59	0	0
L1MEb	antisense	L1	9882	8964	2971	3727	40	9
L1MEb	sense	L1	200	149	365	378	8	1
L1MEc	antisense	L1	129723	116313	42502	51336	569	420
L1MEc	sense	L1	2722	2005	4922	6192	201	109
L1MEd	antisense	L1	73228	67459	25234	31789	405	229
L1MEd	sense	L1	2394	1810	3540	4283	163	66
L1MEf	antisense	L1	78471	72912	25185	31451	307	198
L1MEf	sense	L1	1560	1135	2537	3067	116	48
L1MEg	antisense	L1	64168	58955	23771	29654	260	167
L1MEg	sense	L1	2164	1794	3117	3999	51	31
L1MEg1	antisense	L1	5681	4532	1614	2125	29	25
L1MEg1	sense	L1	23	38	89	126	2	0
L1MEg2	antisense	L1	4796	3890	2099	2629	9	17
L1MEg2	sense	L1	6	14	93	123	0	5
L1MEh	antisense	L1	11460	9738	4755	5871	51	29
L1MEh	sense	L1	240	218	695	803	16	9
L1MEi	antisense	L1	14245	12399	4511	5979	43	48
L1MEi	sense	L1	287	148	523	575	23	3
L1MEj	antisense	L1	5872	4921	2249	2738	29	22
L1MEj	sense	L1	254	230	479	552	10	8
L1P	antisense	L1	71	81	64	56	0	1
L1P	sense	L1	13	36	129	201	0	1
L1P1	antisense	L1	24773	22248	7350	9235	42	39
L1P1	sense	L1	1201	808	2313	3120	13	11
L1P2	antisense	L1	35178	30497	5752	7805	125	43
L1P2	sense	L1	700	521	914	1242	14	7
L1P3	antisense	L1	29111	26333	6037	7325	16	28
L1P3	sense	L1	521	363	1241	1589	2	5
L1P3b	antisense	L1	113	100	2	7	0	0
L1P3b	sense	L1	4	2	3	0	1	0
L1P4	antisense	L1	20202	19928	5159	6289	51	19
L1P4	sense	L1	378	319	612	662	17	2
L1P4a	antisense	L1	2045	1921	357	434	1	3
L1P4a	sense	L1	340	206	63	85	1	0
L1P4b	antisense	L1	269	203	38	47	0	0
L1P4b	sense	L1	14	6	7	31	0	0
L1P4c	antisense	L1	136	41	25	34	0	0
L1P4c	sense	NA	0	0	0	0	0	0
L1P4d	antisense	L1	522	402	79	131	1	0
L1P4d	sense	L1	316	239	208	235	0	0
L1P4e	antisense	L1	407	280	118	130	0	0
L1P4e	sense	L1	28	22	13	19	2	0
L1P5	antisense	L1	971	844	295	463	4	2
L1P5	sense	L1	49	45	27	35	0	0
L1PA10	antisense	L1	65582	55282	12122	15780	106	85
L1PA10	sense	L1	1548	1027	1430	1688	49	15
L1PA11	antisense	L1	55820	47627	12125	15658	135	77
L1PA11	sense	L1	884	592	972	1398	43	24
L1PA12	antisense	L1	11295	8966	3110	4030	49	40
L1PA12	sense	L1	863	615	371	446	8	1
L1PA13	antisense	L1	72281	61222	20779	25023	183	84
L1PA13	sense	L1	2007	1516	1733	2324	30	14
L1PA14	antisense	L1	33504	28372	9140	11182	40	21
L1PA14	sense	L1	1789	1231	1244	1728	26	16
L1PA15	antisense	L1	83204	72046	20070	25679	193	148
L1PA15	sense	L1	2833	1917	3164	3898	29	10
L1PA15-16	antisense	L1	12760	10916	3031	3750	830	329
L1PA15-16	sense	L1	372	250	161	176	36	15
L1PA16	antisense	L1	115292	102524	28056	34525	335	196
L1PA16	sense	L1	3084	2302	4157	4870	82	25
L1PA17	antisense	L1	57929	49356	14543	18348	141	92
L1PA17	sense	L1	524	338	966	1279	19	15
L1PA2	antisense	L1	64835	58022	18230	24404	215	148
L1PA2	sense	L1	6519	4705	12608	18016	183	146
L1PA3	antisense	L1	148964	132843	44571	58906	428	298
L1PA3	sense	L1	8613	5682	14386	20568	154	120
L1PA4	antisense	L1	153152	134601	40745	53537	304	227
L1PA4	sense	L1	5755	3980	8066	11378	101	87
L1PA5	antisense	L1	173921	150586	36902	49410	320	222
L1PA5	sense	L1	5842	4014	7293	10245	77	31
L1PA6	antisense	L1	152312	131860	33860	43802	255	180
L1PA6	sense	L1	3030	2024	4619	6303	59	38
L1PA7	antisense	L1	245375	211190	51564	66392	381	227
L1PA7	sense	L1	5624	4162	5477	6710	121	62
L1PA8	antisense	L1	80456	65754	16420	21115	242	137
L1PA8	sense	L1	1356	1006	1668	2292	51	48
L1PA8A	antisense	L1	37578	33345	7725	9888	52	28
L1PA8A	sense	L1	134	106	466	730	10	0
L1PB	antisense	L1	8920	8816	2578	3151	15	17
L1PB	sense	L1	195	188	314	346	3	0
L1PB1	antisense	L1	156921	138882	33493	41403	279	178
L1PB1	sense	L1	6237	4558	6618	8632	89	53
L1PB2	antisense	L1	15779	13828	4471	5583	58	47
L1PB2	sense	L1	1423	1115	609	744	32	4
L1PB3	antisense	L1	28225	25581	9474	12073	70	59
L1PB3	sense	L1	4699	3676	1977	2304	11	21
L1PB4	antisense	L1	37733	31986	10618	13519	86	73
L1PB4	sense	L1	1298	833	1533	1970	73	56
L1PBa	antisense	L1	21224	16872	5634	7218	21	28
L1PBa	sense	L1	2188	1312	981	1307	9	26
L1PBa1	antisense	L1	7098	5942	806	1205	4	21
L1PBa1	sense	L1	110	69	113	102	0	0
L1PBb	antisense	L1	2269	1598	333	381	1	6
L1PBb	sense	L1	12	14	14	25	0	1
L1PREC2	antisense	L1	52509	47974	16239	20018	130	82
L1PREC2	sense	L1	3404	2353	2516	3139	203	102
