level	name	family	n_copies	n_bins	n_eff	copies_per_bin	top_chrom_frac	gc_mean	speckle_mean	speckle_se	speckle_resid	speckle_resid_se	lamina_mean	lamina_se	lamina_resid	lamina_resid_se	nucleolus_MKI67IP_mean	nucleolus_MKI67IP_se	nucleolus_MKI67IP_resid	nucleolus_MKI67IP_resid_se	nucleolus_POL1RE_mean	nucleolus_POL1RE_se	nucleolus_POL1RE_resid	nucleolus_POL1RE_resid_se	lam_minus_nuc	lam_minus_nuc_se	lam_minus_nuc_resid	lam_minus_nuc_resid_se
subfamily	L1MC2	L1	6254	3343	2071.4	1.8708	0.084954	0.40078	-0.11586	0.013125	0.080051	0.0081993	-0.34774	0.022096	-0.17971	0.016856	-0.18078	0.010047	0.051279	0.0086021	-0.090099	0.0070212	0.029508	0.0046829	-0.16696	0.029989	-0.23099	0.022798
subfamily	L1MC3	L1	13025	6409	4075.9	2.0323	0.091434	0.39658	-0.19847	0.0087776	0.031521	0.004581	-0.2023	0.016254	-0.090629	0.012558	-0.18786	0.0089723	0.066484	0.0081584	-0.1118	0.0057919	0.030327	0.004315	-0.014434	0.023904	-0.15711	0.019354
subfamily	L1MC4	L1	24725	12202	8257.3	2.0263	0.086379	0.40872	-0.039159	0.0063385	0.089515	0.0038583	-0.44986	0.010363	-0.17726	0.0081124	-0.18141	0.0048868	0.0096915	0.0042069	-0.057386	0.0034144	0.020551	0.0022594	-0.26845	0.014141	-0.18695	0.010966
subfamily	L1MC4a	L1	10286	5887	3782.7	1.7472	0.087141	0.40631	-0.070171	0.0090982	0.07908	0.0053125	-0.41742	0.015391	-0.17804	0.012125	-0.17762	0.0074222	0.025984	0.0064241	-0.064481	0.0051159	0.026435	0.003473	-0.2398	0.021194	-0.20402	0.016578
subfamily	L1MC5	L1	15206	9091	6222.7	1.6726	0.090419	0.41208	-0.0087037	0.0070553	0.091658	0.0043926	-0.48972	0.011528	-0.17275	0.0092817	-0.17647	0.0054666	-0.0025932	0.0047191	-0.040499	0.0038188	0.019827	0.002563	-0.31326	0.015771	-0.17016	0.012519
subfamily	L1MC5a	L1	16856	10237	7027.9	1.6466	0.096122	0.4119	-0.0069985	0.0069213	0.095202	0.0042234	-0.49425	0.010985	-0.17956	0.0087416	-0.17256	0.0052583	0.0018953	0.0045294	-0.041785	0.0036685	0.019308	0.00243	-0.32169	0.015096	-0.18145	0.011875
subfamily	L1MCa	L1	7444	3003	2000.2	2.4789	0.077589	0.39084	-0.23137	0.011693	0.049613	0.0070023	-0.25838	0.022447	-0.20615	0.017676	-0.16443	0.012321	0.11355	0.011253	-0.10849	0.0079111	0.058586	0.0060221	-0.093951	0.032434	-0.31969	0.026407
subfamily	L1MCb	L1	2181	1004	700.66	2.1723	0.093625	0.38028	-0.38924	0.015714	-0.020424	0.0088131	0.11813	0.03589	0.034969	0.029489	-0.24789	0.019902	0.083773	0.018059	-0.20811	0.012429	0.013465	0.009471	0.36601	0.053306	-0.048804	0.044885
subfamily	L1MCc	L1	3311	1441	1022.2	2.2977	0.084663	0.38444	-0.33381	0.014833	0.0011593	0.0081293	0.036055	0.028391	0.0034657	0.02159	-0.30633	0.014079	0.0054259	0.0123	-0.20722	0.0097955	-0.0060156	0.0067648	0.34238	0.039472	-0.0019602	0.030341
subfamily	L1MD	L1	8811	5968	4217.6	1.4764	0.08931	0.40155	-0.095229	0.0096081	0.092763	0.0053297	-0.38665	0.015361	-0.208	0.011313	-0.1692	0.0076726	0.059167	0.0066745	-0.079375	0.0052248	0.036402	0.0034321	-0.21745	0.021422	-0.26716	0.016059
