level	name	family	n_copies	n_bins	n_eff	copies_per_bin	top_chrom_frac	gc_mean	speckle_mean	speckle_se	speckle_resid	speckle_resid_se	lamina_mean	lamina_se	lamina_resid	lamina_resid_se	nucleolus_MKI67IP_mean	nucleolus_MKI67IP_se	nucleolus_MKI67IP_resid	nucleolus_MKI67IP_resid_se	nucleolus_POL1RE_mean	nucleolus_POL1RE_se	nucleolus_POL1RE_resid	nucleolus_POL1RE_resid_se	lam_minus_nuc	lam_minus_nuc_se	lam_minus_nuc_resid	lam_minus_nuc_resid_se
subfamily	L1MA8	L1	10812	6578	4392.7	1.6437	0.079051	0.38878	-0.27349	0.0076363	0.0203	0.0048544	-0.08749	0.015042	-0.056772	0.01212	-0.24686	0.0079544	0.039419	0.0071604	-0.15866	0.0050803	0.016823	0.0037897	0.15937	0.021752	-0.096192	0.017896
subfamily	L1MA9	L1	16113	8857	5923.9	1.8192	0.082308	0.38681	-0.3114	0.0060227	0.0021747	0.004065	-0.048543	0.012646	-0.041087	0.010542	-0.24393	0.0070578	0.051417	0.0065528	-0.16616	0.0044255	0.018598	0.0035331	0.19538	0.018404	-0.092504	0.015695
subfamily	L1MB1	L1	5996	3320	2212.4	1.806	0.084639	0.38345	-0.35448	0.009008	-0.015334	0.0059049	0.051641	0.019745	0.013701	0.016404	-0.2689	0.011506	0.044017	0.01071	-0.19304	0.0075053	0.0097642	0.0062561	0.32054	0.029177	-0.030317	0.024914
subfamily	L1MB2	L1	8811	4773	2654.1	1.846	0.079195	0.4081	-0.042297	0.010614	0.088701	0.0080674	-0.63959	0.021342	-0.36602	0.022977	-0.03727	0.015643	0.15291	0.016701	0.017763	0.008695	0.094937	0.0092686	-0.60232	0.034806	-0.51893	0.037834
subfamily	L1MB3	L1	17116	9819	6218.1	1.7432	0.08952	0.42563	0.092773	0.0077702	0.070521	0.0045816	-0.65399	0.011595	-0.19041	0.0090577	-0.07798	0.0060138	0.036377	0.0052059	0.035619	0.0041393	0.033945	0.0028597	-0.57601	0.016421	-0.22679	0.012832
subfamily	L1MB4	L1	8844	5025	3131.2	1.76	0.086965	0.41289	0.021769	0.011051	0.10843	0.0072848	-0.63556	0.017044	-0.30034	0.014491	-0.097756	0.0085283	0.068483	0.0081261	0.002233	0.005454	0.054737	0.0043479	-0.53781	0.023452	-0.36883	0.020361
subfamily	L1MB5	L1	9725	5181	3246.3	1.8771	0.084347	0.4269	0.15227	0.01138	0.1195	0.0067717	-0.72587	0.016429	-0.26222	0.012729	-0.045087	0.0084039	0.0683	0.0074836	0.051379	0.0057037	0.047924	0.0038917	-0.68078	0.023006	-0.33052	0.018095
subfamily	L1MB7	L1	22769	11324	7061.4	2.0107	0.082745	0.41501	0.044285	0.0072115	0.11521	0.0043281	-0.59	0.010948	-0.25117	0.008706	-0.14383	0.0052297	0.020077	0.0045996	-0.017016	0.0036935	0.032119	0.0025138	-0.44617	0.014855	-0.27124	0.011726
subfamily	L1MB8	L1	16306	8701	5300.8	1.874	0.083669	0.40976	-0.019857	0.0082364	0.09611	0.0048805	-0.4949	0.013118	-0.21169	0.010433	-0.16359	0.0064259	0.022619	0.0056455	-0.046028	0.0044569	0.026392	0.0030402	-0.33131	0.018248	-0.23431	0.014549
subfamily	L1MC	L1	8076	6004	4271.8	1.3451	0.085276	0.39956	-0.13587	0.010765	0.06448	0.0063762	-0.32385	0.016107	-0.16699	0.011476	-0.16529	0.0082014	0.071	0.0070566	-0.082769	0.0059011	0.041143	0.0039244	-0.15856	0.022816	-0.23799	0.016759
