level	name	family	n_copies	n_bins	n_eff	copies_per_bin	top_chrom_frac	gc_mean	speckle_mean	speckle_se	speckle_resid	speckle_resid_se	lamina_mean	lamina_se	lamina_resid	lamina_resid_se	nucleolus_MKI67IP_mean	nucleolus_MKI67IP_se	nucleolus_MKI67IP_resid	nucleolus_MKI67IP_resid_se	nucleolus_POL1RE_mean	nucleolus_POL1RE_se	nucleolus_POL1RE_resid	nucleolus_POL1RE_resid_se	lam_minus_nuc	lam_minus_nuc_se	lam_minus_nuc_resid	lam_minus_nuc_resid_se
subfamily	L1M2a	L1	447	220	143.23	2.0318	0.12273	0.38946	-0.26672	0.043254	-0.059985	0.029515	-0.16178	0.076645	-0.015764	0.066205	-0.20895	0.041123	0.011243	0.041457	-0.14186	0.025239	-0.026581	0.022874	0.047166	0.10979	-0.027007	0.10353
subfamily	L1M2a1	L1	108	70	49.846	1.5429	0.11429	0.39382	-0.25977	0.067063	-0.02766	0.058358	-0.11806	0.13085	-0.048422	0.11138	-0.23785	0.079676	0.0094861	0.080718	-0.17242	0.04575	-0.034493	0.046566	0.11979	0.19298	-0.057908	0.18287
subfamily	L1M2b	L1	187	120	83.062	1.5583	0.125	0.38951	-0.36876	0.050151	-0.099818	0.031454	-0.0051994	0.093462	0.02645	0.07445	-0.20641	0.052936	0.03652	0.051071	-0.18729	0.033891	-0.040875	0.031269	0.20121	0.1377	-0.01007	0.12132
subfamily	L1M2c	L1	369	199	135.75	1.8543	0.090452	0.38956	-0.27898	0.042222	-0.057203	0.029893	-0.20351	0.085942	-0.064351	0.065984	-0.20658	0.043006	0.010393	0.039487	-0.13837	0.027813	-0.021624	0.02515	0.0030727	0.12034	-0.074743	0.10085
subfamily	L1M3	L1	6458	4218	3017.3	1.5311	0.085823	0.39798	-0.13398	0.011491	0.027589	0.0076626	-0.32183	0.019252	-0.13621	0.014992	-0.16829	0.0096429	0.044458	0.0093047	-0.095055	0.00652	0.0075885	0.0057541	-0.15354	0.027065	-0.18067	0.023253
subfamily	L1M3a	L1	583	261	178.98	2.2337	0.18008	0.38277	-0.11578	0.037805	0.15479	0.028687	-0.8357	0.094314	-0.77018	0.080486	0.14729	0.055085	0.36174	0.052974	0.02693	0.032631	0.15891	0.030886	-0.98299	0.14033	-1.1319	0.1277
subfamily	L1M3b	L1	553	266	198.19	2.0789	0.1203	0.37776	-0.39338	0.031333	-0.075876	0.025362	0.056954	0.066335	0.027455	0.055067	-0.25438	0.036949	-0.016946	0.036582	-0.21975	0.021872	-0.061111	0.020893	0.31133	0.09623	0.044401	0.087361
subfamily	L1M3c	L1	980	462	315.3	2.1212	0.14069	0.38187	-0.33569	0.030153	-0.057382	0.021557	0.0047975	0.054506	-0.00033309	0.038633	-0.25705	0.027123	-0.010001	0.026145	-0.19332	0.01774	-0.039612	0.0147	0.26185	0.076537	0.0096682	0.061415
subfamily	L1M3d	L1	461	265	179.65	1.7396	0.090566	0.3742	-0.38317	0.031587	-0.051936	0.024378	0.045601	0.07026	-0.021451	0.055507	-0.30147	0.03634	-0.048469	0.03319	-0.23426	0.023553	-0.063006	0.019638	0.34707	0.10296	0.027017	0.085227
subfamily	L1M3de	L1	421	184	131.78	2.288	0.086957	0.38245	-0.33408	0.034783	0.0085971	0.028501	-0.18954	0.086038	-0.25089	0.07234	-0.1147	0.053584	0.12749	0.048963	-0.13098	0.030565	0.037464	0.028256	-0.074846	0.13069	-0.37837	0.11539
subfamily	L1M3e	L1	747	400	271.8	1.8675	0.18	0.38357	-0.3373	0.026288	-0.050189	0.019925	-0.022662	0.064652	-0.021007	0.053384	-0.2449	0.033155	0.0015314	0.033284	-0.19273	0.020693	-0.039082	0.01926	0.22223	0.092013	-0.022539	0.082641
subfamily	L1M3f	L1	676	310	195.12	2.1806	0.093548	0.38819	-0.27192	0.033076	-0.12455	0.027036	-0.13413	0.071298	0.1041	0.058962	-0.27363	0.044774	-0.054206	0.041246	-0.168	0.028392	-0.07171	0.02358	0.1395	0.11055	0.15831	0.094407
subfamily	L1M4	L1	20038	9841	6142.1	2.0362	0.085154	0.40514	-0.029489	0.00857	0.048021	0.0057185	-0.49028	0.0128	-0.17188	0.0098083	-0.13979	0.0062326	0.056714	0.0060141	-0.052665	0.0043074	0.015938	0.0037281	-0.35048	0.017702	-0.2286	0.014971
subfamily	L1M4a1	L1	2498	1318	874.69	1.8953	0.10319	0.3913	-0.18203	0.021585	-0.0039461	0.014737	-0.24198	0.033612	-0.078081	0.024555	-0.23237	0.015935	-0.0098942	0.015589	-0.13585	0.010922	-0.025135	0.0098418	-0.0096049	0.045613	-0.068187	0.037814
subfamily	L1M4a2	L1	2022	1134	723.11	1.7831	0.087302	0.39039	-0.15776	0.022493	0.017962	0.014398	-0.32094	0.039091	-0.14342	0.027123	-0.2175	0.016961	0.00042444	0.016337	-0.12452	0.011923	-0.01745	0.010169	-0.10344	0.052043	-0.14384	0.041096
subfamily	L1M4b	L1	4143	1561	976.42	2.6541	0.10762	0.39004	-0.2098	0.017677	0.0056581	0.012395	-0.23574	0.031202	-0.1266	0.022952	-0.19927	0.015087	0.027242	0.014455	-0.13081	0.010743	-0.0062718	0.0091446	-0.036467	0.043415	-0.15385	0.035422
subfamily	L1M4c	L1	3259	1216	782.4	2.6801	0.087993	0.39112	-0.13785	0.021095	0.029609	0.01515	-0.48155	0.037813	-0.28145	0.029066	-0.12542	0.019244	0.086652	0.017754	-0.079987	0.011805	0.021109	0.010373	-0.35613	0.052848	-0.3681	0.044721
subfamily	L1M5	L1	53239	29957	20320	1.7772	0.08856	0.40053	-0.12044	0.0041012	0.011785	0.0029423	-0.31474	0.0068854	-0.072	0.0053008	-0.20702	0.0033455	0.0050691	0.0032667	-0.098429	0.0023024	-0.0077882	0.0020252	-0.10772	0.0095383	-0.077069	0.0081105
subfamily	L1M6	L1	5583	2992	2066.3	1.866	0.10628	0.38895	-0.29226	0.009286	-0.039612	0.0076275	-0.033529	0.019429	0.024678	0.015635	-0.28821	0.0095155	-0.043524	0.0094985	-0.18116	0.0063967	-0.040308	0.0059296	0.25468	0.026948	0.068202	0.023815
subfamily	L1M6B	L1	622	493	347.92	1.2617	0.13185	0.40008	-0.16179	0.022176	-0.0090737	0.018409	-0.28512	0.046449	-0.054831	0.040141	-0.20706	0.022242	0.011374	0.022421	-0.10618	0.014493	-0.010449	0.01372	-0.078063	0.064379	-0.066205	0.059424
subfamily	L1M7	L1	3186	1628	1113.5	1.957	0.096437	0.39112	-0.24117	0.014029	-0.03545	0.011171	-0.14156	0.027482	-0.0016985	0.023046	-0.25909	0.014009	-0.028087	0.013947	-0.15164	0.0091622	-0.031931	0.0086466	0.11753	0.038735	0.026389	0.035172
subfamily	L1M8	L1	1659	904	612.3	1.8352	0.087389	0.38921	-0.22722	0.02038	-0.029596	0.013151	-0.19932	0.040359	-0.048921	0.028734	-0.26313	0.018823	-0.033113	0.018301	-0.16154	0.013144	-0.043991	0.011304	0.063804	0.05528	-0.015808	0.044483
subfamily	L1MA1	L1	4134	2666	1859.6	1.5506	0.17404	0.38211	-0.3785	0.010068	-0.095858	0.0069632	0.12343	0.019795	0.11302	0.015222	-0.31682	0.010193	-0.070292	0.010247	-0.23083	0.0066611	-0.075684	0.0060055	0.44025	0.027802	0.18331	0.024155
subfamily	L1MA10	L1	4829	3555	2555.5	1.3584	0.077356	0.38967	-0.27894	0.009205	-0.038425	0.0066875	-0.043569	0.018602	0.027574	0.014879	-0.26742	0.0099415	-0.037136	0.010028	-0.17348	0.0064436	-0.040381	0.005857	0.22386	0.026849	0.06471	0.023879
subfamily	L1MA2	L1	7344	4279	2841	1.7163	0.16219	0.3857	-0.31187	0.0084078	-0.081801	0.006288	-0.058634	0.017114	0.033282	0.013733	-0.26974	0.0089523	-0.038296	0.0087308	-0.18511	0.0058536	-0.055601	0.005418	0.2111	0.024065	0.071578	0.02123
subfamily	L1MA3	L1	8683	4844	3148.9	1.7925	0.10178	0.38536	-0.31166	0.0086661	-0.09045	0.0060067	-0.028977	0.016779	0.076681	0.012514	-0.29673	0.0078767	-0.066586	0.0076743	-0.19428	0.005276	-0.068004	0.0046429	0.26775	0.022817	0.14327	0.019015
subfamily	L1MA4	L1	9655	5837	3822.2	1.6541	0.081377	0.38616	-0.29021	0.0079237	-0.067476	0.0059315	-0.064477	0.015428	0.043617	0.01212	-0.27862	0.0077496	-0.048632	0.0075985	-0.17957	0.0050478	-0.053578	0.004502	0.21414	0.021598	0.09225	0.018666
subfamily	L1MA4A	L1	6004	3200	2044.2	1.8762	0.094687	0.38796	-0.29408	0.010496	-0.064239	0.0079969	-0.027331	0.020152	0.068663	0.01552	-0.28865	0.0096481	-0.052996	0.0094336	-0.18522	0.0065641	-0.054726	0.0057793	0.26132	0.027641	0.12166	0.023369
subfamily	L1MA5	L1	4267	2473	1587	1.7254	0.086939	0.38819	-0.26469	0.011885	-0.054424	0.0093722	-0.12658	0.024439	0.0006845	0.019926	-0.26255	0.012179	-0.032281	0.011955	-0.16027	0.0078438	-0.037941	0.0070782	0.13596	0.03435	0.032966	0.030465
subfamily	L1MA5A	L1	3333	2174	1500.2	1.5331	0.092456	0.39316	-0.23727	0.011906	-0.056073	0.0088476	-0.14802	0.023477	0.029004	0.019398	-0.25681	0.012382	-0.03128	0.012176	-0.14401	0.0081768	-0.034022	0.0075233	0.10879	0.03346	0.060284	0.030048
subfamily	L1MA6	L1	5209	3027	2005.6	1.7208	0.086554	0.38196	-0.35775	0.0092878	-0.075001	0.0072103	0.024888	0.021359	0.033852	0.018019	-0.26346	0.012277	-0.025722	0.01172	-0.19046	0.0075768	-0.041028	0.0070065	0.28835	0.031541	0.059574	0.028411
subfamily	L1MA7	L1	8236	5203	3628.1	1.5829	0.092831	0.38755	-0.28293	0.0082682	-0.037771	0.0058398	-0.061069	0.016041	0.0035831	0.012615	-0.25946	0.0080749	-0.022266	0.0079059	-0.17255	0.0054004	-0.035474	0.0048672	0.19839	0.022574	0.025849	0.019503
subfamily	L1MA8	L1	10603	6466	4311.5	1.6398	0.078874	0.38822	-0.28074	0.0076119	-0.054262	0.0056132	-0.066624	0.015136	0.027937	0.012	-0.26126	0.0079042	-0.028297	0.0077406	-0.16739	0.0050714	-0.038094	0.0045323	0.19464	0.021791	0.056234	0.018928
subfamily	L1MA9	L1	15796	8687	5812.9	1.8183	0.082767	0.38656	-0.31205	0.0061132	-0.051706	0.0048357	-0.02531	0.012615	0.018499	0.010526	-0.26529	0.0068071	-0.027373	0.0065532	-0.1774	0.004334	-0.035444	0.0040292	0.23998	0.018113	0.045872	0.016299
subfamily	L1MB1	L1	5905	3274	2194.5	1.8036	0.084301	0.38336	-0.35467	0.0091077	-0.069567	0.0069808	0.06841	0.019238	0.06654	0.01548	-0.28342	0.010783	-0.039301	0.010536	-0.20187	0.006873	-0.048413	0.0063401	0.35183	0.027875	0.10584	0.02474
subfamily	L1MB2	L1	8486	4654	2642.3	1.8234	0.080791	0.40819	-0.037323	0.010554	0.019107	0.0078244	-0.59868	0.02113	-0.22221	0.021189	-0.083973	0.014118	0.10309	0.013172	-0.0084761	0.0076936	0.046535	0.0076925	-0.51471	0.033085	-0.3253	0.033341
subfamily	L1MB3	L1	16769	9613	6099.9	1.7444	0.088422	0.42524	0.090213	0.0078478	0.091763	0.0060363	-0.63723	0.011714	-0.19147	0.0095805	-0.094062	0.005923	0.090502	0.0058466	0.025881	0.0040908	0.063843	0.0036726	-0.54317	0.016469	-0.28197	0.01461
