subfamily	orientation	family	n_copies_with_reads	chr_mean	cyto_mean	chrRNA_neb_mean	log2_retention_rep1	log2_retention_rep2	log2_retention	reps_agree
L1MEd	sense	L1	144	3126.8121	2016.7524	1553.7707	0.9071	0.3835	0.6453	yes
AluSq4	antisense	Alu	10	4.2504	3.8402	3.9881	-0.1571	1.4415	0.6422	NO
L1MD2	antisense	L1	39	45.8909	37.4794	60.6934	-0.4057	1.6840	0.6392	NO
L1P4a	antisense	L1	2	0.6864	0.0000	0.0000	0.0000	1.2466	0.6233	NO
L1ME2	sense	L1	69	1122.9365	762.1521	949.5413	1.1055	0.1408	0.6231	yes
L1PA16	sense	L1	42	1500.4637	980.2704	1179.3301	0.8172	0.4123	0.6147	yes
AluYa8	sense	Alu	2	4.8356	6.7581	2.2809	2.4655	-1.2395	0.6130	NO
L1MEh	antisense	L1	5	7.0584	13.5162	16.9358	2.7825	-1.6017	0.5904	NO
L1MB3	sense	L1	106	1344.5167	927.1278	859.3490	0.5353	0.5362	0.5358	yes
L1M3f	antisense	L1	1	0.4523	0.0000	0.0000	0.9295	0.0000	0.4648	NO
L1M3	sense	L1	24	483.8737	364.6493	257.5841	0.1553	0.7303	0.4428	yes
L1P4b	sense	L1	1	0.3432	0.0000	0.3361	0.0000	0.7539	0.3770	NO
L1MCc	sense	L1	11	322.1645	259.7403	126.7588	-0.0422	0.7711	0.3644	NO
L1MC3	antisense	L1	25	13.6645	10.5983	8.3594	0.4498	0.2675	0.3586	yes
L1MB1	antisense	L1	6	4.1492	7.6803	0.4482	-1.5666	2.2555	0.3444	NO
L1MB3	antisense	L1	47	25.3008	21.1965	30.3574	0.7352	-0.1442	0.2955	NO
L1PA10	sense	L1	45	1219.4389	1000.3934	2294.3995	0.3517	0.2214	0.2865	yes
AluYh7	antisense	Alu	2	0.2262	0.0000	0.1385	0.5384	0.0000	0.2692	NO
AluYk11	antisense	Alu	2	0.2262	0.0000	0.2769	0.5384	0.0000	0.2692	NO
L1M2b	sense	L1	1	0.2262	0.0000	0.8964	0.5384	0.0000	0.2692	NO
L1MEa	antisense	L1	1	0.2262	0.0000	0.0000	0.5384	0.0000	0.2692	NO
L1P4c	antisense	L1	1	0.2262	0.0000	0.0000	0.5384	0.0000	0.2692	NO
L1MCc	antisense	L1	5	6.5200	15.3606	0.3626	-1.5344	2.0316	0.2486	NO
SVA_E	antisense	SVA	9	30.2218	25.0367	28.9786	0.6116	-0.1248	0.2434	NO
L1MA5	sense	L1	24	160.9143	138.6995	90.5355	0.5114	-0.0450	0.2332	NO
L1MD3	antisense	L1	19	20.8551	18.2786	12.2019	0.0285	0.4026	0.2156	yes
AluYa8	antisense	Alu	1	0.1716	0.0000	0.0000	0.0000	0.4257	0.2128	NO
AluYh7	sense	Alu	1	0.1716	0.0000	0.3626	0.0000	0.4257	0.2128	NO
L1M2b	antisense	L1	1	0.1716	0.0000	0.0000	0.0000	0.4257	0.2128	NO
L1ME3Cz	sense	L1	80	1033.5787	914.2314	462.5738	0.0634	0.3153	0.1893	yes
L1P1	sense	L1	18	582.7303	542.9752	216.0289	0.0930	0.1105	0.1018	yes
AluYb9	antisense	Alu	1	0.0000	0.0000	0.2241	0.0000	0.0000	0.0000	yes
AluYd8	antisense	NA	0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	yes
AluYe6	antisense	NA	0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	yes
AluYh3a3	antisense	NA	0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	yes
AluYh9	antisense	NA	0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	yes
AluYi6	antisense	NA	0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	yes
AluYi6_4d	antisense	NA	0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	yes
AluYk12	antisense	NA	0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	yes
L1M2a	antisense	NA	0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	yes
L1M2a	sense	NA	0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	yes
L1M3a	antisense	NA	0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	yes
L1M3de	antisense	NA	0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	yes
L1M3de	sense	NA	0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	yes
L1M3e	antisense	NA	0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	yes
L1M3f	sense	L1	3	0.0000	0.0000	0.9164	0.0000	0.0000	0.0000	yes
L1M4a1	antisense	NA	0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	yes
L1P	antisense	NA	0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	yes
L1P	sense	NA	0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	yes
L1P3b	antisense	NA	0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	yes
L1P3b	sense	NA	0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	yes
L1P4c	sense	L1	1	0.0000	0.0000	0.2241	0.0000	0.0000	0.0000	yes
L1P4d	antisense	NA	0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	yes
L1P4d	sense	NA	0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	yes
L1P5	antisense	L1	1	0.0000	0.0000	1.0613	0.0000	0.0000	0.0000	yes
L1P5	sense	NA	0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	yes
L1ME4b	antisense	L1	61	130.6695	131.9415	53.0470	0.0941	-0.1036	-0.0048	NO
L1MB7	antisense	L1	79	159.2673	158.8226	142.0588	0.1089	-0.1251	-0.0081	NO
L1PBa1	sense	L1	4	72.7748	103.2159	80.3298	1.2707	-1.3153	-0.0223	NO
L1MA4	antisense	L1	28	69.3508	81.7169	6.5131	-0.7206	0.6571	-0.0317	NO
L1P2	antisense	L1	13	24.4665	27.9546	75.2449	0.5017	-0.5813	-0.0398	NO
L1MC4	sense	L1	165	4013.6040	4142.7522	2144.6980	-0.0985	0.0132	-0.0427	NO
AluYe6	sense	Alu	1	1.8172	3.8402	5.3855	-1.4122	1.2466	-0.0828	NO
L1MEg2	antisense	L1	3	51.1867	59.7494	28.5760	0.3781	-0.6269	-0.1244	NO
L1MC3	sense	L1	62	996.2466	1109.4599	984.7403	-0.3791	0.1181	-0.1305	NO
AluYh3a3	sense	Alu	5	13.2431	17.3563	16.6182	0.8341	-1.1073	-0.1366	NO
L1PA15	antisense	L1	14	13.3838	14.4384	10.4091	-0.5791	0.2955	-0.1418	NO
AluYk2	sense	Alu	3	35.9785	39.4751	20.5870	-0.3741	0.0681	-0.1530	NO
