cell_line	rbp	element	subfamily	orientation	n_peaks_rbp	loci_in_cat	bg_loci_in_cat	n_peaks_bg	pooled_loci_in_cat	fold_enrichment	p_fisher_greater	q_BH
K562	KHDRBS1	L1	L1MC2	sense	3897	11	58	881498	69	42.8998	1.710e-14	2.283e-12
K562	ILF3	Alu	AluSx3	sense	7110	16	115	878285	131	17.1865	1.707e-14	2.283e-12
K562	PTBP1	L1	L1M7	antisense	12476	14	39	872919	53	25.1167	1.735e-14	2.309e-12
K562	MATR3	Alu	AluJb	antisense	8519	54	1572	876876	1626	3.5358	1.772e-14	2.351e-12
K562	ILF3	Alu	AluY	sense	7110	20	221	878285	241	11.1790	1.786e-14	2.362e-12
K562	AKAP1	Alu	AluSq2	sense	2620	14	219	882775	233	21.5394	2.236e-14	2.948e-12
K562	SAFB2	L1	L1MB1	sense	8005	10	17	877390	27	64.4737	2.662e-14	3.499e-12
K562	HNRNPM	L1	L1PA11	antisense	10195	15	65	875200	80	19.8106	2.696e-14	3.533e-12
K562	EXOSC5	Alu	AluSz6	antisense	16207	37	399	869188	436	4.9732	2.728e-14	3.564e-12
K562	PTBP1	L1	L1MEi	antisense	12476	13	31	872919	44	29.3414	2.964e-14	3.849e-12
K562	ILF3	Alu	AluSg	antisense	7110	22	292	878285	314	9.3069	2.965e-14	3.849e-12
K562	HNRNPM	L1	L1MB7	antisense	10195	34	551	875200	585	5.2972	3.727e-14	4.824e-12
K562	HNRNPM	L1	L1MA5	antisense	10195	17	99	875200	116	14.7412	3.771e-14	4.867e-12
K562	MATR3	L1	L1PA4	antisense	8519	15	82	876876	97	18.8290	4.087e-14	5.258e-12
K562	SAFB2	L1	L1MC3	sense	8005	13	54	877390	67	26.3864	4.304e-14	5.521e-12
K562	HNRNPC	Alu	AluSc5	antisense	1465	8	45	883930	53	107.2649	4.574e-14	5.849e-12
K562	HNRNPC	Alu	AluJr4	antisense	1465	12	252	883930	264	28.7317	5.103e-14	6.506e-12
K562	SAFB2	Alu	AluJo	sense	8005	30	550	877390	580	5.9785	5.309e-14	6.749e-12
K562	MATR3	Alu	AluSz6	antisense	8519	27	409	876876	436	6.7950	5.699e-14	7.223e-12
K562	EXOSC5	L1	L1MB5	antisense	16207	27	209	869188	236	6.9283	6.767e-14	8.550e-12
K562	HNRNPL	L1	L1MB7	antisense	9862	33	552	875533	585	5.3074	8.128e-14	1.024e-11
K562	SAFB2	L1	L1MA6	sense	8005	10	20	877390	30	54.8026	9.248e-14	1.162e-11
K562	SAFB	L1	L1M4	sense	2224	11	127	883171	138	34.3953	1.054e-13	1.320e-11
K562	MATR3	L1	L1P2	antisense	8519	12	42	876876	54	29.4091	1.475e-13	1.841e-11
K562	EXOSC5	Alu	AluSx	antisense	16207	53	835	869188	888	3.4041	1.959e-13	2.439e-11
K562	KHDRBS1	L1	L1MDa	sense	3897	11	75	881498	86	33.1759	2.142e-13	2.659e-11
K562	ILF3	Alu	Alu	antisense	7110	10	26	878285	36	47.5108	2.329e-13	2.883e-11
K562	PTBP1	L1	L1MEf	antisense	12476	30	370	872919	400	5.6731	2.583e-13	3.187e-11
K562	KHSRP	L1	L1ME4c	sense	41865	18	25	843530	43	14.5071	2.697e-13	3.319e-11
K562	TARDBP	L1	L1MA9	antisense	9311	20	195	876084	215	9.6504	2.795e-13	3.430e-11
K562	MATR3	L1	L1PA3	antisense	8519	13	60	876876	73	22.3019	3.027e-13	3.693e-11
K562	AGGF1	L1	L1MC4	antisense	8124	30	582	877271	612	5.5662	3.027e-13	3.693e-11
K562	SAFB2	L1	L1PA4	sense	8005	11	35	877390	46	34.4474	3.270e-13	3.977e-11
K562	SAFB2	L1	L1MB5	sense	8005	13	65	877390	78	21.9210	3.411e-13	4.137e-11
K562	KHSRP	L1	L1MD3	antisense	41865	24	58	843530	82	8.3374	3.442e-13	4.163e-11
K562	AKAP1	Alu	AluSq2	antisense	2620	14	271	882775	285	17.4063	3.503e-13	4.225e-11
K562	SAFB2	Alu	AluJr4	sense	8005	15	104	877390	119	15.8084	3.729e-13	4.484e-11
K562	HNRNPM	L1	L1M3b	antisense	10195	8	5	875200	13	137.3536	3.768e-13	4.519e-11
K562	HNRNPC	Alu	AluSg4	antisense	1465	7	31	883930	38	136.2438	4.040e-13	4.828e-11
