cell_line	rbp	element	subfamily	orientation	n_peaks_rbp	loci_in_cat	bg_loci_in_cat	n_peaks_bg	pooled_loci_in_cat	fold_enrichment	p_fisher_greater	q_BH
K562	AARS	L1	L1PA10	sense	1457	0	47	883938	47	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1PA10	antisense	1457	0	137	883938	137	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1MEd	sense	1457	0	167	883938	167	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1MEd	antisense	1457	0	477	883938	477	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1MA7	sense	1457	0	42	883938	42	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1MA7	antisense	1457	0	143	883938	143	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1MEc	sense	1457	0	159	883938	159	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1MEc	antisense	1457	1	623	883938	624	0.9738	6.423e-01	1.000e+00
K562	AARS	L1	L1M7	sense	1457	0	9	883938	9	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1M7	antisense	1457	0	53	883938	53	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1PA11	sense	1457	0	10	883938	10	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1PA11	antisense	1457	0	80	883938	80	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1M4c	sense	1457	1	97	883938	98	6.2545	1.491e-01	1.000e+00
K562	AARS	L1	L1M4c	antisense	1457	0	102	883938	102	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1ME3	sense	1457	0	79	883938	79	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1ME3	antisense	1457	0	163	883938	163	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1MEg	sense	1457	0	103	883938	103	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1MEg	antisense	1457	0	315	883938	315	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1MC4	sense	1457	3	243	883938	246	7.4899	8.103e-03	2.726e-01
K562	AARS	L1	L1MC4	antisense	1457	0	612	883938	612	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1M3	sense	1457	0	36	883938	36	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1M3	antisense	1457	0	117	883938	117	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1M8	sense	1457	0	27	883938	27	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1M8	antisense	1457	0	32	883938	32	0.0000	1.000e+00	1.000e+00
K562	AARS	SVA	SVA_D	sense	1457	0	12	883938	12	0.0000	1.000e+00	1.000e+00
K562	AARS	SVA	SVA_D	antisense	1457	0	9	883938	9	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1M4b	sense	1457	0	23	883938	23	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1M4b	antisense	1457	1	135	883938	136	4.4940	2.007e-01	1.000e+00
K562	AARS	L1	L1MC1	sense	1457	0	108	883938	108	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1MC1	antisense	1457	0	313	883938	313	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1PA3	sense	1457	0	27	883938	27	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1PA3	antisense	1457	0	73	883938	73	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1MB4	sense	1457	0	78	883938	78	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1MB4	antisense	1457	0	248	883938	248	0.0000	1.000e+00	1.000e+00
K562	AARS	Alu	AluSc8	sense	1457	0	67	883938	67	0.0000	1.000e+00	1.000e+00
K562	AARS	Alu	AluSc8	antisense	1457	1	146	883938	147	4.1554	2.150e-01	1.000e+00
K562	AARS	Alu	AluYa5	sense	1457	0	4	883938	4	0.0000	1.000e+00	1.000e+00
K562	AARS	Alu	AluYa5	antisense	1457	0	0	883938	0	nan	1.000e+00	1.000e+00
K562	AARS	L1	L1MD	sense	1457	0	57	883938	57	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1MD	antisense	1457	0	186	883938	186	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1ME2	sense	1457	0	112	883938	112	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1ME2	antisense	1457	0	296	883938	296	0.0000	1.000e+00	1.000e+00
K562	AARS	Alu	AluSx4	sense	1457	0	39	883938	39	0.0000	1.000e+00	1.000e+00
K562	AARS	Alu	AluSx4	antisense	1457	0	50	883938	50	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1PB1	sense	1457	0	77	883938	77	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1PB1	antisense	1457	0	333	883938	333	0.0000	1.000e+00	1.000e+00
K562	AARS	Alu	AluYe5	sense	1457	0	2	883938	2	0.0000	1.000e+00	1.000e+00
K562	AARS	Alu	AluYe5	antisense	1457	0	2	883938	2	0.0000	1.000e+00	1.000e+00
K562	AARS	Alu	AluSq4	sense	1457	0	1	883938	1	0.0000	1.000e+00	1.000e+00
K562	AARS	Alu	AluSq4	antisense	1457	0	8	883938	8	0.0000	1.000e+00	1.000e+00
K562	AARS	Alu	AluYk11	sense	1457	0	8	883938	8	0.0000	1.000e+00	1.000e+00
K562	AARS	Alu	AluYk11	antisense	1457	0	1	883938	1	0.0000	1.000e+00	1.000e+00
K562	AARS	Alu	AluYh9	sense	1457	0	0	883938	0	nan	1.000e+00	1.000e+00
K562	AARS	Alu	AluYh9	antisense	1457	0	2	883938	2	0.0000	1.000e+00	1.000e+00
K562	AARS	Alu	AluYa8	sense	1457	0	0	883938	0	nan	1.000e+00	1.000e+00
K562	AARS	Alu	AluYa8	antisense	1457	0	0	883938	0	nan	1.000e+00	1.000e+00
K562	AARS	Alu	AluYh3a3	sense	1457	0	1	883938	1	0.0000	1.000e+00	1.000e+00
K562	AARS	Alu	AluYh3a3	antisense	1457	0	0	883938	0	nan	1.000e+00	1.000e+00
K562	AARS	L1	L1M1	sense	1457	0	97	883938	97	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1M1	antisense	1457	0	218	883938	218	0.0000	1.000e+00	1.000e+00
K562	AARS	Alu	AluYk3	sense	1457	0	20	883938	20	0.0000	1.000e+00	1.000e+00
K562	AARS	Alu	AluYk3	antisense	1457	0	1	883938	1	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1M4a2	sense	1457	0	34	883938	34	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1M4a2	antisense	1457	0	46	883938	46	0.0000	1.000e+00	1.000e+00
K562	AARS	Alu	AluYi6	sense	1457	0	2	883938	2	0.0000	1.000e+00	1.000e+00
K562	AARS	Alu	AluYi6	antisense	1457	0	3	883938	3	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1P5	sense	1457	0	2	883938	2	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1P5	antisense	1457	0	3	883938	3	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1MC5	sense	1457	0	112	883938	112	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1MC5	antisense	1457	0	366	883938	366	0.0000	1.000e+00	1.000e+00
K562	AARS	Alu	AluYk2	sense	1457	0	3	883938	3	0.0000	1.000e+00	1.000e+00
K562	AARS	Alu	AluYk2	antisense	1457	0	3	883938	3	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1M4a1	sense	1457	0	15	883938	15	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1M4a1	antisense	1457	0	98	883938	98	0.0000	1.000e+00	1.000e+00
K562	AARS	Alu	AluYm1	sense	1457	0	9	883938	9	0.0000	1.000e+00	1.000e+00
K562	AARS	Alu	AluYm1	antisense	1457	0	7	883938	7	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1MCa	sense	1457	0	32	883938	32	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1MCa	antisense	1457	0	255	883938	255	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1ME3G	sense	1457	0	75	883938	75	0.0000	1.000e+00	1.000e+00
