cell_line	rbp	element	subfamily	orientation	n_peaks_rbp	loci_in_cat	bg_loci_in_cat	n_peaks_bg	pooled_loci_in_cat	fold_enrichment	p_fisher_greater	q_BH
HepG2	AGGF1	L1	L1M4a2	antisense	5235	0	47	932317	47	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	Alu	AluYi6	sense	5235	0	1	932317	1	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	Alu	AluYi6	antisense	5235	0	3	932317	3	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1P5	sense	5235	0	2	932317	2	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1P5	antisense	5235	0	3	932317	3	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1MC5	sense	5235	1	63	932317	64	2.8269	3.012e-01	1.000e+00
HepG2	AGGF1	L1	L1MC5	antisense	5235	3	395	932317	398	1.3526	3.834e-01	1.000e+00
HepG2	AGGF1	Alu	AluYk2	sense	5235	0	2	932317	2	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	Alu	AluYk2	antisense	5235	0	8	932317	8	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1M4a1	sense	5235	0	15	932317	15	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1M4a1	antisense	5235	0	107	932317	107	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	Alu	AluYm1	sense	5235	0	11	932317	11	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	Alu	AluYm1	antisense	5235	0	25	932317	25	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1MCa	sense	5235	1	23	932317	24	7.7432	1.257e-01	1.000e+00
HepG2	AGGF1	L1	L1MCa	antisense	5235	2	206	932317	208	1.7291	3.236e-01	1.000e+00
HepG2	AGGF1	L1	L1ME3G	sense	5235	0	47	932317	47	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1ME3G	antisense	5235	1	276	932317	277	0.6453	7.880e-01	1.000e+00
HepG2	AGGF1	L1	L1MEf	sense	5235	0	73	932317	73	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1MEf	antisense	5235	0	417	932317	417	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	Alu	AluYc3	sense	5235	0	2	932317	2	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	Alu	AluYc3	antisense	5235	0	7	932317	7	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1MB2	sense	5235	0	56	932317	56	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1MB2	antisense	5235	1	305	932317	306	0.5839	8.198e-01	1.000e+00
HepG2	AGGF1	L1	L1ME3F	sense	5235	0	18	932317	18	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1ME3F	antisense	5235	1	161	932317	162	1.1062	5.963e-01	1.000e+00
HepG2	AGGF1	L1	L1MB7	sense	5235	3	156	932317	159	3.4249	6.034e-02	1.000e+00
HepG2	AGGF1	L1	L1MB7	antisense	5235	3	725	932317	728	0.7369	7.722e-01	1.000e+00
HepG2	AGGF1	L1	L1MCc	sense	5235	1	6	932317	7	29.6822	3.844e-02	8.321e-01
HepG2	AGGF1	L1	L1MCc	antisense	5235	0	140	932317	140	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1MEb	sense	5235	0	8	932317	8	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1MEb	antisense	5235	0	35	932317	35	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1ME3A	sense	5235	0	80	932317	80	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1ME3A	antisense	5235	1	305	932317	306	0.5839	8.198e-01	1.000e+00
HepG2	AGGF1	L1	L1PA12	sense	5235	0	1	932317	1	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1PA12	antisense	5235	0	27	932317	27	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	Alu	AluYg6	sense	5235	0	4	932317	4	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	Alu	AluYg6	antisense	5235	0	4	932317	4	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1MDa	sense	5235	0	50	932317	50	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1MDa	antisense	5235	0	207	932317	207	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1ME3Cz	sense	5235	0	55	932317	55	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1ME3Cz	antisense	5235	0	193	932317	193	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1ME2z	sense	5235	0	32	932317	32	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1ME2z	antisense	5235	1	179	932317	180	0.9949	6.350e-01	1.000e+00
HepG2	AGGF1	L1	L1PA15	sense	5235	1	78	932317	79	2.2832	3.575e-01	1.000e+00
HepG2	AGGF1	L1	L1PA15	antisense	5235	0	234	932317	234	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1MA10	sense	5235	0	14	932317	14	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1MA10	antisense	5235	0	70	932317	70	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1MC2	sense	5235	0	30	932317	30	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1MC2	antisense	5235	0	172	932317	172	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1ME3C	sense	5235	0	9	932317	9	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1ME3C	antisense	5235	0	59	932317	59	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1MA5A	sense	5235	0	18	932317	18	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1MA5A	antisense	5235	0	108	932317	108	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1MEh	sense	5235	0	5	932317	5	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1MEh	antisense	5235	0	55	932317	55	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1MB1	sense	5235	0	16	932317	16	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1MB1	antisense	5235	0	106	932317	106	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1MD2	sense	5235	0	133	932317	133	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1MD2	antisense	5235	0	224	932317	224	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1MEi	sense	5235	0	15	932317	15	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1MEi	antisense	5235	0	109	932317	109	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1PA13	sense	5235	0	14	932317	14	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1PA13	antisense	5235	0	150	932317	150	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1ME5	sense	5235	0	12	932317	12	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1ME5	antisense	5235	0	60	932317	60	0.0000	1.000e+00	1.000e+00
