subfamily	orientation	family	n_copies_with_reads	chr_mean	cyto_mean	chrRNA_neb_mean	log2_retention_rep1	log2_retention_rep2	log2_retention	reps_agree
L1P3b	antisense	L1	6	2.6752	7.6803	14.3837	-2.3266	2.0316	-0.1475	NO
L1ME4b	antisense	L1	685	898.0540	1027.4258	1248.0101	-0.0799	-0.3020	-0.1909	yes
L1MB3	sense	L1	719	1318.8313	1552.4397	1066.9650	-0.3468	-0.1087	-0.2277	yes
L1MC4	sense	L1	973	6408.6349	7513.9638	2534.6930	-0.2735	-0.1820	-0.2278	yes
L1ME4b	sense	L1	634	1367.0449	1618.1762	689.8449	-0.2479	-0.2380	-0.2430	yes
AluYg6	antisense	Alu	56	25.7847	41.3195	60.3637	-1.6265	1.0880	-0.2692	NO
L1P3b	sense	L1	2	2.4023	3.8402	0.8900	-3.1177	2.5372	-0.2903	NO
AluSz6	antisense	Alu	1620	999.6635	1258.9090	2421.8182	-0.4634	-0.1874	-0.3254	yes
L1ME4a	antisense	L1	719	776.0563	977.3524	495.1822	-0.1762	-0.4849	-0.3306	yes
L1MB3	antisense	L1	613	707.1520	896.5578	1368.4225	-0.1896	-0.4797	-0.3346	yes
AluYb8	antisense	Alu	248	83.3276	106.9048	115.2306	-0.1927	-0.4931	-0.3429	yes
L1MB5	sense	L1	448	757.7529	992.2446	784.1285	0.0026	-0.7045	-0.3510	NO
L1M3a	antisense	L1	31	33.5761	43.3153	65.6393	-0.6310	-0.1006	-0.3658	yes
SVA_A	antisense	SVA	101	65.0149	92.3151	104.5367	-1.0527	0.3173	-0.3677	NO
L1MB4	antisense	L1	357	299.2339	399.8158	629.3220	0.0487	-0.7909	-0.3711	NO
AluYe5	antisense	Alu	71	40.9074	53.9135	69.3826	-0.5067	-0.2825	-0.3946	yes
SVA_E	antisense	SVA	69	119.7965	159.7448	262.8296	-0.5689	-0.2231	-0.3960	yes
AluJr4	sense	Alu	664	1046.3629	1391.7726	968.6918	-0.4774	-0.3362	-0.4068	yes
AluSz	antisense	Alu	3734	3420.5834	4586.4881	6793.5731	-0.3904	-0.4563	-0.4234	yes
AluJr4	antisense	Alu	672	505.6873	692.2730	1122.7732	-0.3284	-0.5783	-0.4534	yes
L1MEg	antisense	L1	566	651.1895	897.1775	700.4846	-0.4266	-0.5004	-0.4635	yes
AluSc	antisense	Alu	1185	1222.9206	1711.8672	1648.1152	-0.3632	-0.6107	-0.4869	yes
SVA_F	antisense	SVA	154	180.1251	293.0622	842.1703	0.1113	-1.1508	-0.5198	NO
AluYk11	antisense	Alu	36	16.4876	27.9546	16.3948	0.1528	-1.3075	-0.5773	NO
AluJo	antisense	Alu	2889	2209.8598	3321.1383	5375.9204	-0.6231	-0.5505	-0.5868	yes
SVA_A	sense	SVA	65	36.3992	56.8314	52.1506	-0.3581	-0.8494	-0.6037	yes
AluJr	antisense	Alu	3194	2537.9393	3878.5520	5680.5124	-0.6058	-0.6179	-0.6118	yes
L1MD2	antisense	L1	427	639.7492	1014.0608	710.7123	-0.4531	-0.8597	-0.6564	yes
AluSc8	antisense	Alu	769	681.4930	1107.9179	1237.4079	-0.8021	-0.5934	-0.6977	yes
L1ME3	antisense	L1	350	595.8406	991.6396	630.6217	-0.7130	-0.7548	-0.7339	yes
AluSg7	antisense	Alu	326	182.5964	349.8937	317.0022	-0.1202	-1.4568	-0.7885	yes
AluYi6	antisense	Alu	22	18.3127	45.1597	8.6292	-2.0268	0.4282	-0.7993	NO
AluSg	antisense	Alu	1450	1072.3075	1896.6487	1879.3057	-0.8335	-0.8112	-0.8223	yes
AluSx	antisense	Alu	4295	3023.3353	5426.6978	5490.3210	-0.9729	-0.7060	-0.8394	yes
AluJb	antisense	Alu	4755	3764.9877	6848.8744	8156.5516	-0.9306	-0.7918	-0.8612	yes
L1MA5A	antisense	L1	126	209.6283	401.8115	317.7609	-0.3473	-1.3784	-0.8629	yes
SVA_C	antisense	SVA	97	144.3584	265.5761	497.1196	-1.3860	-0.3552	-0.8706	yes
AluY	antisense	Alu	4062	3481.2198	6377.6080	4065.7205	-0.8357	-0.9099	-0.8728	yes
