subfamily	orientation	family	baseMean	log2FoldChange	lfcSE	pvalue	padj
L1MC2	antisense	L1	194.607369196775	1.15967709978537	0.365512579947285	0.00151006671058216	0.00315063301343685
L1MDa	sense	L1	375.266855633924	1.1526506547423	0.229617453913605	5.1705421138178e-07	9.79102655595286e-07
L1M4b	sense	L1	261.453789034356	1.13346652981016	0.58744775629798	0.0536717581428419	0.0692287894885932
L1PA7	sense	L1	1789.55890751028	1.11992516537071	0.155395738287204	5.72302217751892e-13	1.41485826055329e-12
L1PBa1	antisense	L1	37.817977119043	1.09788525078352	0.664908147897917	0.0987011456361934	0.143797358728592
L1MEg1	antisense	L1	16.3082481833635	1.09257205878629	1.00373670466681	0.276372390006692	0.3459772882306
AluSq10	antisense	Alu	16.0813048689267	1.06592385710862	1.00736067899498	0.289993779846406	0.360359917603254
L1PA3	antisense	L1	1026.3880635526	1.05618415793578	0.157337229564997	1.90834870845131e-11	8.48712978232291e-11
L1MA9	sense	L1	696.977789121379	1.0497989499752	0.182669352393642	9.0846075131371e-09	1.88030248527721e-08
L1PA16	antisense	L1	728.759711377908	1.04278804630515	0.166336125086712	3.62997281509961e-10	1.4962570871996e-09
L1PA8	sense	L1	358.281871516691	1.0009335006111	0.24889739795895	5.78359943340798e-05	9.71208206742094e-05
L1M3	antisense	L1	218.826770111801	0.980950654209423	0.286533866355717	0.00061818693754004	0.0013746525321614
L1ME2	sense	L1	557.431326296933	0.976658196558614	0.186441917089817	1.61970663199044e-07	3.23941326398088e-07
L1MCa	antisense	L1	281.251974608261	0.974185096169031	0.292786522901093	0.000876956752883523	0.00192474923684825
L1MA8	antisense	L1	293.259966862539	0.943856280739864	0.301819746859651	0.00176468753108721	0.00363697796041144
L1MEb	sense	L1	82.9172821396736	0.932987891900773	0.541693744808598	0.0850055770108839	0.106556286675615
L1M3d	sense	L1	40.9008419711322	0.92622571680464	1.43872526120113	0.519716676533831	0.567543364558417
L1ME3E	sense	L1	65.9641992406067	0.920561206175906	0.639148399204736	0.149784414452191	0.18137160389449
L1M3c	sense	L1	29.087100160656	0.907613789623855	0.903168460308889	0.314934445138925	0.361666653127282
L1MA10	antisense	L1	108.840771770893	0.907296752912408	0.441125449149179	0.0397076651003649	0.064524955788093
L1M6B	sense	L1	1.33505922142086	0.891760469498499	3.45645088582175	0.796407768883183	0.833885781536509
L1MC5a	antisense	L1	404.587874606781	0.89040591379151	0.200647667224692	9.09425668168392e-06	2.43957044318188e-05
L1MB8	antisense	L1	588.350929811656	0.889546984867044	0.342931596327784	0.00948806296539494	0.0182213936494516
L1M1	antisense	L1	634.314372131185	0.862441241597244	0.204878250754677	2.55901918062527e-05	6.55264002311622e-05
L1PA4	antisense	L1	645.616657667838	0.849684230084053	0.188718499042922	6.71936227531634e-06	1.83156810407816e-05
L1M3	sense	L1	406.988640821858	0.832783004619225	0.255897700612538	0.00113648530347697	0.00174391710361121
L1MD	sense	L1	396.79660346931	0.830618496717228	0.61152847806674	0.174379213314224	0.204207236644288
AluYe6	antisense	Alu	0.954087719736689	0.822732679126304	2.95574595069857	0.780743491420376	NA
L1M8	antisense	L1	91.7632801968222	0.815009697212374	0.389182635317782	0.0362459608676838	0.0600545822219466
L1MEf	antisense	L1	353.047431450734	0.798309752387951	0.217563193453863	0.000243193114091729	0.00057082828168753
L1MC3	antisense	L1	666.386331988598	0.793110400456443	0.201667586208285	8.39757519654111e-05	0.000202741458316492
L1PA5	sense	L1	974.689615514729	0.786160176307902	0.285517454940619	0.0058969426964954	0.00833060158711255
L1MC3	sense	L1	1294.94303988011	0.779050681344841	0.445755845096569	0.0805147486536901	0.101642732342956
L1ME3B	sense	L1	693.188050544279	0.749290492009455	0.166571839307433	6.84982445303472e-06	1.20719678479226e-05
L1P3	antisense	L1	166.711990375688	0.726119587567069	0.345843501923467	0.0357674615516245	0.0598485247745004
L1M3c	antisense	L1	25.865476966654	0.72575857296947	0.749843769566782	0.333104446877767	0.410909865126589
L1MA9	antisense	L1	435.467551241234	0.722640876023086	0.197854070141324	0.000259807581853477	0.000593344342341048
L1ME3G	antisense	L1	150.685156763293	0.715957213364392	0.302655014585408	0.018001441681328	0.0323642940866429
L1MEd	sense	L1	1140.60609670051	0.672056859564754	0.320051903201443	0.0357431736258246	0.047479738099976
L1PB1	sense	L1	783.771304734937	0.658150516071165	0.146708623473277	7.25364784909749e-06	1.26583266386211e-05
AluSq4	antisense	Alu	11.8287776068193	0.65496089185229	1.12103599246901	0.559054758700618	0.625697047817247
L1MA6	antisense	L1	252.9343996862	0.651534439900142	0.240339261649071	0.00671019244406937	0.0130347416442267
L1MEi	antisense	L1	108.76053407343	0.64254528741107	0.358251077551153	0.0728832096942542	0.10997555748508
L1MB7	sense	L1	1396.91006123181	0.640587130624412	0.132889017115519	1.43222499795842e-06	2.62820669728453e-06
L1ME2	antisense	L1	221.196803071912	0.605577399687128	0.250642657983053	0.0156878083283679	0.0285079527687547
L1P4a	antisense	L1	12.6766291670286	0.598892587373512	1.2107526217689	0.620850814984315	0.681323296963306
L1M4a2	antisense	L1	18.8850615226956	0.595037669485221	0.826916483670803	0.471779826641736	0.535105977868815
L1ME3C	antisense	L1	49.4845094955036	0.582485639871365	0.616104179852922	0.344437516078364	0.418776548325492
L1MEc	sense	L1	1058.2989637222	0.558993471995554	0.192773015987985	0.00373460895918898	0.00540455605476129
L1MC5	antisense	L1	340.61757455672	0.532416770630724	0.207575583147614	0.0103196722022205	0.0195957820469132
L1MB1	antisense	L1	176.629515841272	0.519741651855069	0.316203720788179	0.100239757176727	0.144790760366383
L1PREC2	antisense	L1	213.000529718215	0.514023001050915	0.251868792802705	0.0412670909184938	0.0664203653830995
L1PA17	antisense	L1	187.846546828311	0.501687116791629	0.268703722779833	0.0618926149395082	0.0959619442640082
L1MB2	sense	L1	259.627410245631	0.496765761486889	0.238946932571879	0.0376192396919678	0.0496016641864464
L1PA2	sense	L1	1271.1567002734	0.475474196146437	0.180795867459801	0.00854111767486988	0.0116947611240526
L1MDb	sense	L1	41.5414932270523	0.473948712908325	0.606423234607151	0.434480405603154	0.483359451233509
L1MEj	antisense	L1	47.4202214364939	0.47215388807564	0.504109448822873	0.348959270300348	0.421243690576848
L1MC1	sense	L1	690.313773692782	0.452780634110255	0.161691139112474	0.00510581300852962	0.00727067772414618
L1PA8	antisense	L1	231.000476089594	0.451990710307574	0.306440425770212	0.14022036736021	0.192660504746955
SVA_B	antisense	SVA	151.906958439591	0.451433000891153	0.292395958785663	0.122610173521299	0.171248920042144
L1MB1	sense	L1	546.54384648157	0.449088056699129	0.168360313122856	0.00764355569234097	0.0106293196346617
L1MB8	sense	L1	881.954291459266	0.429276394643654	0.221351720325459	0.0524598691680542	0.0681595380431653
L1MCc	antisense	L1	276.179215843634	0.427022662822069	0.227771914191569	0.0608227337759636	0.0951763148901652
L1MB2	antisense	L1	387.997010922489	0.415414034313617	0.192576360268535	0.0309948125597087	0.0523812332259077
L1MA5	antisense	L1	65.454639229847	0.39619115881404	0.493126851920973	0.421728288977774	0.494945005814193
L1MD1	sense	L1	259.67800076561	0.391440318394994	0.387781760906453	0.312766262045327	0.361509056130313
L1ME3A	antisense	L1	299.867996100671	0.385928745646179	0.217056650142529	0.0754023251592176	0.112769849131927
L1MC4a	antisense	L1	319.565038583412	0.382259598905429	0.320458623856068	0.232927476940325	0.30049422597645
L1MD1	antisense	L1	374.19138590042	0.350741740018291	0.215191326727094	0.103121261799072	0.14769062071223
L1PB4	antisense	L1	192.186195060142	0.342941571521982	0.297808575633054	0.24950589104939	0.317041320205615
L1MC4	antisense	L1	796.179948193224	0.342592908965402	0.1573102617379	0.0294196889840335	0.0502214892757744
L1M4	sense	L1	961.145676708255	0.30142739101755	0.217998760599019	0.166756161692862	0.197883978542196
AluYa8	antisense	Alu	0.661530727982467	0.295256809040024	3.36579258400889	0.930096983684224	NA
L1ME3F	sense	L1	60.0878941092369	0.288479050462125	0.778889542937462	0.711105168378794	0.748974674387132
L1ME2z	sense	L1	191.181901803896	0.270435725445499	0.293394710341176	0.356660502826613	0.40180740191859
L1MC2	sense	L1	231.917980374193	0.258393892888686	0.262165274958431	0.324322326465899	0.370060090454679
L1M3f	antisense	L1	35.8901167402551	0.234682565249394	0.587539280998185	0.689574197977616	0.747038714475751
L1ME3B	antisense	L1	220.83711832889	0.194758492262064	0.244665492342227	0.42602072662845	0.496534502070401
L1PA13	antisense	L1	433.206501618835	0.14376487878072	0.190576961818077	0.450629171578805	0.518070272087197
L1MA4	antisense	L1	422.471039433552	0.137541924809967	0.199122308442379	0.489728374482799	0.55176063525062
