subfamily	orientation	family	K562_chrRNA_rep1	K562_chrRNA_rep2	K562_chr_Takara_rep1	K562_chr_Takara_rep2	K562_cyto_Takara_rep1	K562_cyto_Takara_rep2
L1P	antisense	L1	431	261	48	84	0	0
L1P	sense	L1	2	0	2	4	0	0
L1P1	antisense	L1	2212	1770	835	1103	43	10
L1P1	sense	L1	3964	2834	5132	7305	163	121
L1P2	antisense	L1	1609	1321	239	288	4	1
L1P2	sense	L1	1328	953	1167	1484	696	352
L1P3	antisense	L1	3676	3105	1152	1428	19	23
L1P3	sense	L1	3006	2446	2115	2834	7	15
L1P3b	antisense	L1	74	44	5	9	2	0
L1P3b	sense	L1	3	4	0	14	1	0
L1P4	antisense	L1	3079	3110	1300	1428	10	5
L1P4	sense	L1	4171	3393	4874	6190	33	27
L1P4a	antisense	L1	202	203	78	104	0	3
L1P4a	sense	L1	1044	821	1681	1972	4	2
L1P4b	antisense	L1	428	326	41	53	1	0
L1P4b	sense	L1	109	89	27	29	0	0
L1P4c	antisense	L1	84	77	0	0	0	0
L1P4c	sense	L1	0	4	10	12	0	0
L1P4d	antisense	L1	270	242	14	50	0	0
L1P4d	sense	L1	20	17	171	276	1	1
L1P4e	antisense	L1	92	69	57	79	0	0
L1P4e	sense	L1	159	106	21	40	1	1
L1P5	antisense	L1	71	49	79	63	4	0
L1P5	sense	L1	39	65	93	98	8	0
L1PA10	antisense	L1	10029	8516	2388	2901	40	23
L1PA10	sense	L1	23245	15612	18718	23926	122	86
L1PA11	antisense	L1	9888	8932	2130	2472	26	1
L1PA11	sense	L1	10567	8086	11073	14540	7	20
L1PA12	antisense	L1	2054	1385	345	467	98	41
L1PA12	sense	L1	8377	5363	1039	1324	131	86
L1PA13	antisense	L1	10700	8802	2497	3271	92	53
L1PA13	sense	L1	14579	10047	9965	11949	27	48
L1PA14	antisense	L1	4737	4139	1371	1594	18	7
L1PA14	sense	L1	8938	6514	6871	8608	20	26
L1PA15	antisense	L1	11069	9301	3195	3821	40	38
L1PA15	sense	L1	8901	6781	10108	11532	54	21
L1PA15-16	antisense	L1	3390	2917	863	1186	15	9
L1PA15-16	sense	L1	1073	823	1221	1470	3	11
L1PA16	antisense	L1	13311	12192	5675	6681	104	63
L1PA16	sense	L1	28648	22080	31276	38987	85	90
L1PA17	antisense	L1	5439	4471	1271	1517	36	19
L1PA17	sense	L1	2533	1907	4757	4854	2298	1129
L1PA2	antisense	L1	18103	15056	5478	7626	104	44
L1PA2	sense	L1	6229	4639	10507	14819	179	103
L1PA3	antisense	L1	23321	20083	7620	9852	134	97
L1PA3	sense	L1	18241	13930	26636	40423	109	114
L1PA4	antisense	L1	19631	16460	4452	6088	102	60
L1PA4	sense	L1	16136	11512	12495	17657	111	87
L1PA5	antisense	L1	22306	19069	5495	6896	54	44
L1PA5	sense	L1	8856	6665	8769	12241	96	85
L1PA6	antisense	L1	10723	9153	2194	2896	35	20
L1PA6	sense	L1	26929	19830	26588	38673	77	68
L1PA7	antisense	L1	39752	35210	11113	14193	73	51
L1PA7	sense	L1	18695	14375	17821	23986	180	116
L1PA8	antisense	L1	8285	7212	1580	1814	52	19
L1PA8	sense	L1	6901	5250	3553	4523	35	27
L1PA8A	antisense	L1	5514	4892	1768	2180	13	8
L1PA8A	sense	L1	4592	3524	4180	5206	11	12
L1PB	antisense	L1	1297	1443	509	606	9	0
L1PB	sense	L1	3508	2911	1457	1743	2	3
