subfamily	family	orientation	n_genes	n_copies	n_contacts	te_frac	ctl_exp_frac	z_gene	p_gene	q_gene	shift_mean	shift_sd	z_shift	p_shift	q_shift
L1M7	L1	antisense	154	378	1610	0.0409938	0.0671945	-4.96097	1	1	0.0762465	0.0493011	-0.715049	0.762711	0.999762
L1PA15-16	L1	antisense	42	100	919	0.0054407	0.0346366	-5.06611	1	1	0.0355003	0.0353021	-0.851496	0.802753	0.999762
L1ME3C	L1	antisense	224	509	1559	0.0173188	0.0402792	-5.1026	1	1	0.0407818	0.014745	-1.59126	0.944224	0.999762
L1MC2	L1	antisense	242	678	2680	0.0164179	0.0322946	-5.13588	1	1	0.0526784	0.0455017	-0.796904	0.787247	0.999762
L1PA11	L1	antisense	268	444	3154	0.0196576	0.0350584	-5.17342	1	1	0.0314579	0.0405636	-0.290908	0.614439	0.999762
L1MA1	L1	antisense	139	350	1454	0.0103164	0.0345896	-5.24221	1	1	0.0380857	0.0243823	-1.13891	0.87263	0.999762
L1PB2	L1	sense	305	568	3637	0.0219962	0.0367937	-5.25059	1	1	0.034141	0.0130593	-0.929976	0.823808	0.999762
L1PB3	L1	sense	321	675	4349	0.00735801	0.0173905	-5.28365	1	1	0.0284305	0.0219539	-0.959851	0.831435	0.999762
L1ME4c	L1	sense	1052	2498	4639	0.0107782	0.0211555	-5.3135	1	1	0.0335214	0.0282679	-0.80456	0.789463	0.999762
L1ME3G	L1	antisense	973	2513	5389	0.0174429	0.0291202	-5.41432	1	1	0.0368131	0.0108143	-1.79117	0.963367	0.999762
L1M6	L1	antisense	253	721	2163	0.011558	0.027207	-5.41611	1	1	0.036956	0.0700415	-0.362613	0.641553	0.999762
L1MEg1	L1	antisense	23	58	283	0.024735	0.0910133	-5.41959	1	1	0.17263	0.136203	-1.08584	0.861224	0.999762
L1ME3B	L1	antisense	373	1210	4182	0.0148254	0.0276106	-5.43389	1	1	0.0445637	0.021336	-1.39381	0.918312	0.999762
AluSx3	Alu	sense	3877	7963	23159	0.0294486	0.0354961	-5.44046	1	1	0.0398295	0.00519886	-1.99677	0.977075	0.999762
L1MA7	L1	antisense	445	1055	3416	0.0237119	0.0396806	-5.51288	1	1	0.0515668	0.0482116	-0.577763	0.718288	0.999762
L1ME4b	L1	antisense	1404	3395	8423	0.0263564	0.0365994	-5.54157	1	1	0.0429025	0.0466771	-0.35448	0.63851	0.999762
L1ME2z	L1	sense	696	2159	5374	0.011537	0.0215242	-5.54763	1	1	0.0304509	0.0249362	-0.758489	0.775921	0.999762
L1MD1	L1	sense	492	1712	8465	0.0160662	0.0250918	-5.6461	1	1	0.0281819	0.0106013	-1.14285	0.87345	0.999762
L1MEi	L1	sense	339	969	2672	0.00748503	0.0226133	-5.65597	1	1	0.0354572	0.0172577	-1.62086	0.947476	0.999762
L1MEb	L1	antisense	84	210	823	0.00243013	0.0365349	-5.69069	1	1	0.0350737	0.0335145	-0.974011	0.834975	0.999762
L1ME2	L1	antisense	518	1402	5431	0.0117842	0.0232294	-5.90935	1	1	0.029363	0.006776	-2.59427	0.99526	0.999762
L1M2a	L1	antisense	10	32	388	0.0180412	0.0859272	-5.91918	1	1	0.0441695	0.122369	-0.21352	0.584539	0.999762
L1ME3A	L1	antisense	659	1643	5982	0.0165496	0.0277557	-5.99482	1	1	0.0334986	0.0535718	-0.316378	0.624142	0.999762
L1MD	L1	sense	768	1967	4601	0.0171702	0.0318359	-6.05721	1	1	0.0361055	0.0128374	-1.47502	0.929896	0.999762
L1P2	L1	antisense	91	164	1660	0.0186747	0.0463121	-6.09982	1	1	0.0746808	0.0845137	-0.662686	0.746234	0.999762
L1MEc	L1	antisense	503	1663	9075	0.0252342	0.0361037	-6.13556	1	1	0.0389614	0.0148807	-0.922485	0.821862	0.999762
L1MD3	L1	sense	499	1279	3506	0.00884199	0.0236011	-6.1556	1	1	0.0274641	0.0107839	-1.72685	0.957903	0.999762
L1ME3Cz	L1	antisense	718	1846	4847	0.0231071	0.0386082	-6.25302	1	1	0.0480118	0.0162677	-1.53093	0.937106	0.999762
AluSq2	Alu	sense	5667	14473	45659	0.0290414	0.0339856	-6.32704	1	1	0.0444054	0.0204991	-0.749499	0.773222	0.999762
L1MA6	L1	antisense	247	550	2476	0.0290792	0.0558778	-6.35253	1	1	0.0567244	0.0574669	-0.481065	0.684765	0.999762
L1PA15-16	L1	sense	67	160	2252	0.00044405	0.0179769	-6.3934	1	1	0.0277644	0.0229816	-1.18879	0.882739	0.999762
L1ME2	L1	sense	944	2988	9998	0.0171034	0.0268434	-6.43292	1	1	0.033383	0.0237774	-0.684668	0.753223	0.999762
L1ME3Cz	L1	sense	1059	3079	6469	0.0174679	0.0302046	-6.47997	1	1	0.0334045	0.0139889	-1.13924	0.872698	0.999762
L1MA2	L1	antisense	255	737	4732	0.0243026	0.0417682	-6.561	1	1	0.0426937	0.0317869	-0.578573	0.718561	0.999762
L1ME3	L1	antisense	431	1056	3989	0.0235648	0.0422045	-6.58362	1	1	0.0447128	0.0171124	-1.23583	0.891739	0.999762
L1M5	L1	antisense	2353	7743	16836	0.026966	0.0355604	-6.75311	1	1	0.0449443	0.0121413	-1.48075	0.930663	0.999762
L1P4a	L1	sense	28	59	872	0.00344037	0.0453909	-6.75465	1	1	0.0549045	0.0940916	-0.546958	0.707796	0.999762
L1M3de	L1	sense	24	62	767	0.0260756	0.088695	-6.77695	1	1	0.0801307	0.0783115	-0.690257	0.754984	0.999762
L1M4a1	L1	antisense	110	295	1462	0.00478796	0.0326304	-6.87485	1	1	0.0542695	0.0632834	-0.781905	0.782865	0.999762
L1PBa	L1	antisense	73	160	2089	0.0119674	0.0382481	-6.89104	1	1	0.0455029	0.0469915	-0.71365	0.762278	0.999762
L1ME4b	L1	sense	2219	6329	13482	0.0189141	0.0279406	-6.90819	1	1	0.0371608	0.0104672	-1.74322	0.959352	0.999762
L1MC4a	L1	antisense	548	1396	5186	0.014462	0.0293376	-6.94875	1	1	0.0383743	0.0173814	-1.37574	0.915549	0.999762
L1MD2	L1	antisense	521	1449	5940	0.0138047	0.0266347	-6.98044	1	1	0.0363675	0.0751289	-0.30032	0.618034	0.999762
L1ME4a	L1	antisense	1656	5394	8431	0.0214684	0.0338897	-6.9937	1	1	0.0445391	0.0101416	-2.27487	0.988543	0.999762
L1PREC2	L1	antisense	428	840	5279	0.0193218	0.0356364	-7.01789	1	1	0.0427747	0.0184833	-1.26887	0.897756	0.999762
L1MA3	L1	antisense	312	984	7642	0.0239466	0.0383145	-7.0634	1	1	0.0633607	0.0441906	-0.891911	0.81378	0.999762
L1MB1	L1	sense	397	1156	4116	0.00680272	0.0215928	-7.17418	1	1	0.0332058	0.0377949	-0.698588	0.757595	0.999762
L1MA5	L1	sense	405	1009	5260	0.0220532	0.0400089	-7.19291	1	1	0.0442856	0.0417268	-0.532808	0.702917	0.999762
L1M4b	L1	antisense	113	382	2194	0.00455789	0.0287419	-7.19875	1	1	0.0327016	0.0314213	-0.895689	0.814791	0.999762
L1MC5a	L1	antisense	913	2191	6242	0.0200256	0.035371	-7.21068	1	1	0.0485269	0.0225933	-1.26149	0.896434	0.999762
L1MC1	L1	antisense	502	1234	6548	0.0181735	0.0330292	-7.2869	1	1	0.0459365	0.0190491	-1.45744	0.927503	0.999762
