subfamily	family	orientation	n_genes	n_copies	n_contacts	te_frac	ctl_exp_frac	z_gene	p_gene	q_gene	shift_mean	shift_sd	z_shift	p_shift	q_shift
L1PB1	L1	sense	932	2426	20842	0.012091	0.0256758	-13.2273	1	1	0.0280545	0.00711158	-2.24472	0.987607	1
AluJr	Alu	antisense	6266	18531	65802	0.0255007	0.0341842	-13.3897	1	1	0.0404775	0.0243365	-0.615403	0.730856	1
AluSp	Alu	sense	5013	12668	32387	0.0206873	0.0332782	-13.7367	1	1	0.0417273	0.00540948	-3.88947	0.99995	1
AluSz	Alu	antisense	6695	20630	57439	0.0230505	0.0326349	-14.0153	1	1	0.0433752	0.0204412	-0.994299	0.839961	1
AluY	Alu	antisense	5880	19696	34311	0.0197604	0.0329671	-14.9669	1	1	0.0421088	0.00678228	-3.29511	0.999508	1
L1PA11	L1	sense	485	839	7423	0.00916072	0.0376922	-15.0352	1	1	0.108417	0.0574171	-1.72869	0.958067	1
L1ME1	L1	sense	2064	7876	29307	0.0104753	0.0227164	-15.0451	1	1	0.0284769	0.00616446	-2.92023	0.998251	1
AluSx	Alu	sense	7665	29878	80636	0.0219877	0.0304985	-15.1411	1	1	0.0400191	0.0188431	-0.956923	0.830697	1
L1PA16	L1	sense	1041	2521	20061	0.00817507	0.0239374	-15.7701	1	1	0.0319258	0.0379801	-0.625347	0.734128	1
AluSz	Alu	sense	7306	26343	74704	0.0199989	0.0294553	-16.5632	1	1	0.0377326	0.00523155	-3.38977	0.99965	1
AluJo	Alu	sense	6259	19465	63898	0.0189364	0.029535	-17.0999	1	1	0.0363496	0.00698005	-2.4947	0.993697	1
AluSx1	Alu	sense	7723	29328	79410	0.0203501	0.0300928	-17.4155	1	1	0.0374016	0.00557051	-3.06104	0.998897	1
AluJr	Alu	sense	6350	20380	65940	0.0196846	0.0305132	-17.5205	1	1	0.0383113	0.016681	-1.11665	0.867927	1
AluJb	Alu	antisense	7623	27250	94174	0.0236902	0.0338905	-18.7611	1	1	0.0435044	0.0132929	-1.49059	0.931966	1
L1M1	L1	sense	497	1615	15729	0.0161485	0.0471148	-20.6546	1	1	0.0988469	0.0394095	-2.09844	0.982067	1
AluJb	Alu	sense	7885	31347	113749	0.0199386	0.0305739	-22.5206	1	1	0.0374703	0.00352537	-4.97299	1	1
